사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018159273,(주)케이아이엔엑스,2016,성숙기,0,0.0,23.62,64.46,44.27,0.02,36.52,11.7,매우 안정
1018159273,(주)케이아이엔엑스,2017,성숙기,0,0.0,29.0,73.35,43.22,0.01,35.94,12.7,매우 안정
1018159273,(주)케이아이엔엑스,2018,성숙기,0,0.0,29.74,86.22,48.76,0.04,40.22,14.6,매우 안정
1018159273,(주)케이아이엔엑스,2019,성숙기,0,0.0,0.0,91.73,50.59,0.15,43.03,13.9,매우 안정
1018159273,(주)케이아이엔엑스,2020,성장기,0,16.6,100.0,72.0,57.07,0.1,28.17,19.8,매우 안정
1018159273,(주)케이아이엔엑스,2021,성숙기,0,0.0,21.92,67.69,47.87,0.05,46.12,12.6,매우 안정
1018159273,(주)케이아이엔엑스,2022,성숙기,0,0.0,49.86,99.69,46.99,0.12,46.68,17.2,매우 안정
1018159273,(주)케이아이엔엑스,2023,성숙기,0,0.0,20.16,99.34,56.62,0.09,49.49,16.3,매우 안정
1018159273,(주)케이아이엔엑스,2024,성장기,0,18.9,44.02,100.0,50.37,0.19,52.64,21.2,매우 안정
1018161463,넷마블몬스터주식회사,2015,성숙기,0,0.0,33.36,0.0,49.29,0.01,36.51,6.0,매우 안정
1018161463,넷마블몬스터주식회사,2016,성숙기,0,0.0,23.62,64.46,45.19,0.02,36.53,11.7,매우 안정
1018161463,넷마블몬스터주식회사,2017,조정기,0,30.3,29.0,73.35,41.64,0.02,35.94,18.7,매우 안정
1018161463,넷마블몬스터주식회사,2018,조정기,0,32.7,29.74,86.22,47.47,0.01,40.2,21.0,매우 안정
1018161463,넷마블몬스터주식회사,2019,성숙기,0,0.0,0.0,91.73,47.24,1.09,43.6,14.3,매우 안정
1018161463,넷마블몬스터주식회사,2020,쇠퇴기,0,100.0,100.0,72.0,59.0,0.98,28.13,37.1,안정
1018161463,넷마블몬스터주식회사,2021,쇠퇴기,1,100.0,21.92,67.69,52.99,96.9,99.73,88.8,매우 위험
1018162201,(주)동아사이언스,2021,성숙기,0,0.0,21.92,67.69,48.25,0.08,46.15,12.6,매우 안정
1018162201,(주)동아사이언스,2022,조정기,0,24.9,49.86,99.69,46.82,5.61,49.62,25.3,매우 안정
1018162201,(주)동아사이언스,2023,조정기,0,22.1,20.16,99.34,56.55,10.31,51.97,26.5,매우 안정
1018162201,(주)동아사이언스,2024,조정기,0,17.3,44.02,100.0,49.66,18.97,57.3,31.4,안정
1018163762,(주)케이엑스이노베이션,2015,성숙기,0,0.0,33.36,0.0,48.87,0.15,36.55,6.0,매우 안정
1018163762,(주)케이엑스이노베이션,2016,성숙기,0,0.0,23.62,64.46,41.41,0.14,36.52,11.6,매우 안정
1018163762,(주)케이엑스이노베이션,2017,성장기,0,16.5,29.0,73.35,39.98,0.24,36.01,16.0,매우 안정
1018163762,(주)케이엑스이노베이션,2018,성장기,0,13.5,29.74,86.22,47.21,0.04,40.08,17.2,매우 안정
1018163762,(주)케이엑스이노베이션,2019,성장기,0,15.3,0.0,91.73,55.2,0.24,43.09,17.3,매우 안정
1018163762,(주)케이엑스이노베이션,2020,조정기,0,20.3,100.0,72.0,56.65,0.38,28.32,20.7,매우 안정
1018163762,(주)케이엑스이노베이션,2021,성장기,0,12.4,21.92,67.69,46.58,0.06,45.97,15.0,매우 안정
1018163762,(주)케이엑스이노베이션,2022,성숙기,0,0.0,49.86,99.69,42.63,0.44,46.85,17.2,매우 안정
1018163762,(주)케이엑스이노베이션,2023,성숙기,0,0.0,20.16,99.34,53.46,0.1,49.32,16.1,매우 안정
1018163762,(주)케이엑스이노베이션,2024,성숙기,0,0.0,44.02,100.0,46.61,0.21,52.64,17.3,매우 안정
1018171660,(주)케이티아이에스,2015,성숙기,0,0.0,33.36,0.0,50.42,0.03,36.53,6.0,매우 안정
1018171660,(주)케이티아이에스,2016,성숙기,0,0.0,23.62,64.46,44.79,0.01,36.51,11.7,매우 안정
1018171660,(주)케이티아이에스,2017,성숙기,0,0.0,29.0,73.35,44.08,0.01,35.94,12.8,매우 안정
1018171660,(주)케이티아이에스,2018,성숙기,0,0.0,29.74,86.22,49.63,0.03,40.22,14.6,매우 안정
1018171660,(주)케이티아이에스,2019,성숙기,0,0.0,0.0,91.73,51.96,0.26,43.1,14.1,매우 안정
1018171660,(주)케이티아이에스,2020,성숙기,0,0.0,100.0,72.0,57.89,0.15,28.13,16.6,매우 안정
1018171660,(주)케이티아이에스,2021,성숙기,0,0.0,21.92,67.69,47.9,0.08,46.11,12.6,매우 안정
1018171660,(주)케이티아이에스,2022,조정기,0,24.9,49.86,99.69,46.51,0.16,46.69,22.2,매우 안정
1018171660,(주)케이티아이에스,2023,성숙기,0,0.0,20.16,99.34,56.26,0.12,49.48,16.3,매우 안정
1018171660,(주)케이티아이에스,2024,성숙기,0,0.0,44.02,100.0,49.71,0.3,52.68,17.5,매우 안정
1018174672,(주)한국디지털케이블미디어센터,2015,성숙기,0,0.0,33.36,0.0,43.11,0.18,36.61,5.8,매우 안정
1018174672,(주)한국디지털케이블미디어센터,2016,성숙기,0,0.0,23.62,64.46,45.68,0.06,36.44,11.8,매우 안정
1018174672,(주)한국디지털케이블미디어센터,2017,성숙기,0,0.0,29.0,73.35,44.55,0.02,35.92,12.8,매우 안정
1018174672,(주)한국디지털케이블미디어센터,2018,성숙기,0,0.0,29.74,86.22,50.21,0.1,40.25,14.7,매우 안정
1018174672,(주)한국디지털케이블미디어센터,2019,성숙기,0,0.0,0.0,91.73,53.0,0.76,43.35,14.4,매우 안정
1018180719,군자출판사(주),2019,성장기,0,15.3,0.0,91.73,52.93,0.15,42.97,17.1,매우 안정
1018180719,군자출판사(주),2020,성장기,0,16.6,100.0,72.0,57.93,0.42,28.42,20.1,매우 안정
1018180719,군자출판사(주),2021,성장기,0,12.4,21.92,67.69,48.25,0.6,46.25,15.4,매우 안정
1018190181,(주)열린책들,2015,쇠퇴기,0,100.0,33.36,0.0,69.73,10.14,42.99,32.9,안정
1018190181,(주)열린책들,2018,성장기,0,13.5,29.74,86.22,45.19,0.06,40.21,17.1,매우 안정
1018190181,(주)열린책들,2019,조정기,0,25.2,0.0,91.73,42.64,0.09,42.99,18.5,매우 안정
1018190575,(주)현대이지웰,2015,성장기,0,13.8,33.36,0.0,53.84,0.05,36.53,9.0,매우 안정
1018190575,(주)현대이지웰,2016,성숙기,0,0.0,23.62,64.46,47.71,0.42,36.78,12.1,매우 안정
1018190575,(주)현대이지웰,2017,성장기,0,16.5,29.0,73.35,49.43,0.15,35.77,16.4,매우 안정
1018190575,(주)현대이지웰,2018,성장기,0,13.5,29.74,86.22,52.84,0.06,40.15,17.5,매우 안정
1018190575,(주)현대이지웰,2019,성장기,0,15.3,0.0,91.73,52.98,0.12,43.0,17.1,매우 안정
1018190575,(주)현대이지웰,2020,성장기,0,16.6,100.0,72.0,58.71,0.12,28.21,19.9,매우 안정
1018190575,(주)현대이지웰,2021,성숙기,0,0.0,21.92,67.69,50.04,0.05,46.11,12.7,매우 안정
1018190575,(주)현대이지웰,2022,성숙기,0,0.0,49.86,99.69,46.76,0.06,46.65,17.2,매우 안정
1018190575,(주)현대이지웰,2023,성숙기,0,0.0,20.16,99.34,56.4,0.56,49.77,16.6,매우 안정
1018190575,(주)현대이지웰,2024,조정기,0,17.3,44.02,100.0,50.15,0.35,52.46,21.0,매우 안정
1018192326,(주)와이비엠교육,2015,쇠퇴기,0,100.0,33.36,0.0,49.86,16.78,37.99,35.3,안정
1018192326,(주)와이비엠교육,2016,쇠퇴기,0,100.0,23.62,64.46,44.84,16.43,36.34,40.7,중립
1018192326,(주)와이비엠교육,2017,쇠퇴기,1,100.0,29.0,73.35,44.73,95.03,86.76,87.6,매우 위험
1018193460,(주)캔버스엔,2015,조정기,0,33.1,33.36,0.0,43.08,0.05,36.54,12.3,매우 안정
1018193460,(주)캔버스엔,2016,조정기,0,23.9,23.62,64.46,27.57,0.04,36.52,15.6,매우 안정
1018193460,(주)캔버스엔,2017,도입기,0,79.1,29.0,73.35,40.13,0.01,35.92,28.4,매우 안정
1018193460,(주)캔버스엔,2018,쇠퇴기,0,100.0,29.74,86.22,39.15,11.99,47.52,41.0,중립
1018193460,(주)캔버스엔,2019,도입기,0,91.9,0.0,91.73,65.65,31.21,54.18,50.7,위험
1018193460,(주)캔버스엔,2020,성숙기,0,0.0,100.0,72.0,15.44,0.47,4.53,13.5,매우 안정
1018193460,(주)캔버스엔,2021,조정기,0,26.1,21.92,67.69,12.18,4.88,48.61,18.8,매우 안정
1018193460,(주)캔버스엔,2022,도입기,0,98.5,49.86,99.69,20.39,0.12,44.04,35.4,안정
1018193460,(주)캔버스엔,2023,쇠퇴기,0,78.9,20.16,99.34,37.69,45.63,73.74,57.4,위험
1018193460,(주)캔버스엔,2024,도입기,0,100.0,44.02,100.0,31.87,0.49,27.51,35.4,안정
1018601005,제스프로(주),2017,성숙기,0,0.0,29.0,73.35,45.31,0.08,35.94,12.9,매우 안정
1018601005,제스프로(주),2018,쇠퇴기,0,100.0,29.74,86.22,50.33,0.08,40.21,34.7,안정
1018601005,제스프로(주),2019,성숙기,0,0.0,0.0,91.73,52.93,0.09,42.97,14.0,매우 안정
1018601005,제스프로(주),2020,조정기,0,20.3,100.0,72.0,57.13,0.06,28.19,20.6,매우 안정
1018601005,제스프로(주),2021,성숙기,0,0.0,21.92,67.69,46.46,0.06,46.15,12.5,매우 안정
1018601005,제스프로(주),2022,조정기,0,24.9,49.86,99.69,53.44,0.02,46.62,22.5,매우 안정
1018601005,제스프로(주),2023,쇠퇴기,0,78.9,20.16,99.34,60.86,0.03,49.51,32.3,안정
1018601005,제스프로(주),2024,성숙기,0,0.0,44.02,100.0,55.12,0.06,52.6,17.6,매우 안정
1018605210,아시아나세이버(주),2015,성숙기,0,0.0,33.36,0.0,49.43,0.02,36.53,6.0,매우 안정
1018605210,아시아나세이버(주),2016,성숙기,0,0.0,23.62,64.46,47.33,0.02,36.52,11.8,매우 안정
1018605210,아시아나세이버(주),2017,성숙기,0,0.0,29.0,73.35,47.61,0.02,35.94,13.0,매우 안정
1018605210,아시아나세이버(주),2018,성숙기,0,0.0,29.74,86.22,51.01,0.03,40.21,14.7,매우 안정
1018605210,아시아나세이버(주),2019,성숙기,0,0.0,0.0,91.73,53.89,0.07,42.99,14.1,매우 안정
1018605210,아시아나세이버(주),2020,성숙기,0,0.0,100.0,72.0,58.44,3.74,31.04,18.7,매우 안정
1018605210,아시아나세이버(주),2021,쇠퇴기,0,100.0,21.92,67.69,60.64,32.44,62.18,51.8,위험
1018605210,아시아나세이버(주),2024,쇠퇴기,0,73.0,44.02,100.0,51.89,0.08,52.59,32.1,안정
1018615912,(주)아시아경제,2015,성장기,0,13.8,33.36,0.0,64.23,0.04,36.45,9.5,매우 안정
1018615912,(주)아시아경제,2016,성장기,0,14.8,23.62,64.46,40.95,0.1,36.57,14.5,매우 안정
1018615912,(주)아시아경제,2017,성장기,0,16.5,29.0,73.35,36.51,0.05,35.91,15.7,매우 안정
1018615912,(주)아시아경제,2018,성장기,0,13.5,29.74,86.22,43.56,0.24,40.32,17.1,매우 안정
1018615912,(주)아시아경제,2019,쇠퇴기,0,100.0,0.0,91.73,53.1,0.17,42.93,34.1,안정
1018615912,(주)아시아경제,2020,조정기,0,20.3,100.0,72.0,57.76,0.1,28.16,20.6,매우 안정
1018615912,(주)아시아경제,2021,조정기,0,26.1,21.92,67.69,34.4,2.04,47.23,18.3,매우 안정
1018615912,(주)아시아경제,2022,조정기,0,24.9,49.86,99.69,35.49,1.92,46.56,22.6,매우 안정
1018615912,(주)아시아경제,2023,성숙기,0,0.0,20.16,99.34,48.85,17.09,57.57,25.7,매우 안정
1018615912,(주)아시아경제,2024,성숙기,1,0.0,44.02,100.0,42.08,6.86,46.87,20.4,매우 안정
1018623426,(주)지에스아이티엠,2015,성숙기,0,0.0,33.36,0.0,40.35,0.04,36.51,5.5,매우 안정
1018623426,(주)지에스아이티엠,2016,성숙기,0,0.0,23.62,64.46,37.98,0.03,36.52,11.4,매우 안정
1018623426,(주)지에스아이티엠,2017,조정기,0,30.3,29.0,73.35,33.99,0.1,35.99,18.4,매우 안정
1018623426,(주)지에스아이티엠,2018,성숙기,0,0.0,29.74,86.22,44.05,0.03,40.16,14.3,매우 안정
1018623426,(주)지에스아이티엠,2019,성숙기,0,0.0,0.0,91.73,51.5,0.07,42.99,13.9,매우 안정
1018623426,(주)지에스아이티엠,2020,성숙기,0,0.0,100.0,72.0,57.12,0.1,28.23,16.5,매우 안정
1018623426,(주)지에스아이티엠,2021,성숙기,0,0.0,21.92,67.69,44.83,0.23,46.22,12.5,매우 안정
1018623426,(주)지에스아이티엠,2022,성숙기,0,0.0,49.86,99.69,47.46,0.23,46.64,17.3,매우 안정
1018623426,(주)지에스아이티엠,2023,조정기,0,22.1,20.16,99.34,56.84,2.87,50.91,22.3,매우 안정
1018623426,(주)지에스아이티엠,2024,조정기,0,17.3,44.02,100.0,50.79,0.03,51.01,20.8,매우 안정
1018631606,주식회사메타넷티플랫폼,2015,조정기,0,33.1,33.36,0.0,47.51,0.01,36.51,12.5,매우 안정
1018631606,주식회사메타넷티플랫폼,2016,조정기,0,23.9,23.62,64.46,44.21,0.16,36.63,16.5,매우 안정
1018631606,주식회사메타넷티플랫폼,2017,성숙기,0,0.0,29.0,73.35,39.99,0.01,35.84,12.6,매우 안정
1018631606,주식회사메타넷티플랫폼,2018,성숙기,0,0.0,29.74,86.22,45.72,6.7,44.29,18.3,매우 안정
1018631606,주식회사메타넷티플랫폼,2019,조정기,0,25.2,0.0,91.73,,8.35,43.92,,매우 안정
1018631606,주식회사메타넷티플랫폼,2020,조정기,0,20.3,100.0,72.0,54.89,0.11,21.86,20.2,매우 안정
1018631606,주식회사메타넷티플랫폼,2021,조정기,0,26.1,21.92,67.69,16.74,0.58,46.41,16.6,매우 안정
1018631606,주식회사메타넷티플랫폼,2022,성숙기,0,0.0,49.86,99.69,42.55,12.38,52.99,24.0,매우 안정
