통계표,업종코드,기업규모,계정항목,단위,변환,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","매입채무","백만원","원자료","1,616,178","1,769,077","1,966,131","2,014,524","2,136,834","2,412,584","2,440,751","2,589,606","2,916,995","2,832,855","3,468,510","3,772,263","3,685,088","3,744,766"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","매출채권","백만원","원자료","1,363,082","1,469,445","1,593,844","1,562,253","1,638,565","1,699,764","1,782,663","1,722,791","1,683,979","1,423,603","1,401,958","1,577,894","1,602,234","1,551,085"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","유형자산","백만원","원자료","6,756,414","6,917,532","7,121,592","7,306,852","7,733,144","7,947,188","8,132,730","8,169,128","8,297,053","8,235,244","8,541,363","8,808,212","9,024,227","9,380,473"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","매입채무","백만원","원자료","622,722","604,071","680,547","646,225","726,414","745,604","755,925","694,776","750,334","709,660","857,184","908,095","927,470","852,717"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","매출채권","백만원","원자료","872,663","975,236","1,043,494","1,009,868","1,055,797","1,072,312","1,118,948","1,019,710","947,349","792,935","774,209","902,940","853,871","794,448"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","유형자산","백만원","원자료","3,691,642","3,713,144","3,731,622","3,702,905","3,801,727","3,728,707","3,675,638","3,654,356","3,615,857","3,512,572","3,571,901","3,629,738","3,642,026","3,778,067"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","매입채무","백만원","원자료","259,595","265,605","308,853","267,152","331,387","327,472","335,402","311,859","378,908","308,077","390,847","416,277","417,656","336,233"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","매출채권","백만원","원자료","490,419","494,209","550,350","552,385","582,768","627,452","663,715","703,081","736,630","630,668","627,749","674,953","748,364","756,637"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","유형자산","백만원","원자료","3,064,772","3,204,387","3,389,971","3,603,947","3,931,417","4,218,482","4,457,093","4,514,772","4,681,196","4,722,672","4,969,462","5,178,474","5,382,201","5,602,407"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","매입채무","백만원","원자료","363,127","338,466","371,695","379,073","395,027","418,132","420,522","382,917","371,426","401,583","466,337","491,818","509,814","516,484"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","매출채권","백만원","원자료","4,282,605","4,422,949","4,614,962","4,855,912","4,603,245","4,916,242","4,806,705","5,114,815","4,971,770","4,865,615","5,296,866","4,929,050","4,740,705","4,704,156"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","유형자산","백만원","원자료","9,173,433","8,919,337","8,990,160","8,823,375","8,879,640","10,184,701","10,347,807","11,048,302","11,197,914","11,247,478","11,664,699","11,951,221","11,972,755","12,104,874"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","매입채무","백만원","원자료","2,389,521","2,352,287","2,312,309","2,341,823","2,126,298","2,244,606","2,242,793","2,316,926","2,209,700","2,228,659","2,471,489","2,320,193","2,137,580","2,147,041"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","매출채권","백만원","원자료","750,282","779,132","738,145","766,825","704,080","797,425","663,613","783,325","746,672","666,662","852,127","637,855","588,929","550,939"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","유형자산","백만원","원자료","3,347,857","3,308,240","3,104,727","2,309,484","2,212,988","3,095,740","3,057,910","2,963,405","2,780,077","1,356,676","1,347,327","1,369,248","1,296,401","1,310,639"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","매입채무","백만원","원자료","393,530","384,979","288,742","320,058","254,780","287,670","244,465","263,683","258,739","224,191","273,653","223,342","207,945","204,750"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","매출채권","백만원","원자료","1,570,794","1,743,489","1,970,562","2,081,679","2,050,453","2,116,891","2,103,314","2,219,536","2,149,623","2,070,271","2,198,431","2,186,575","2,122,549","2,050,362"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","유형자산","백만원","원자료","1,896,090","2,089,820","2,391,214","2,731,956","2,948,356","3,199,442","3,157,318","3,498,456","3,659,319","4,544,192","4,789,005","4,862,289","5,039,699","5,109,346"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","매입채무","백만원","원자료","917,716","944,069","1,067,586","1,075,192","1,049,525","1,087,110","1,104,758","1,089,785","1,042,527","1,037,107","1,139,131","1,102,840","1,014,513","1,016,732"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","매출채권","백만원","원자료","1,961,529","1,900,327","1,906,255","2,007,407","1,848,712","2,001,926","2,039,779","2,111,953","2,075,474","2,128,682","2,246,308","2,104,620","2,029,227","2,102,855"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","유형자산","백만원","원자료","3,929,485","3,521,277","3,494,219","3,781,935","3,718,297","3,889,519","4,132,579","4,586,442","4,758,518","5,346,610","5,528,367","5,719,684","5,636,656","5,684,888"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","매입채무","백만원","원자료","1,078,275","1,023,239","955,982","946,572","821,993","869,826","893,570","963,457","908,434","967,361","1,058,705","994,011","915,123","925,559"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","매출채권","백만원","원자료","3,803,362","3,937,319","4,360,951","5,285,197","4,959,151","5,161,354","5,313,662","5,003,927","4,654,554","4,324,890","5,148,355","5,353,035","5,932,165","6,346,382"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","유형자산","백만원","원자료","4,259,839","4,527,959","5,377,361","7,471,079","5,552,377","5,544,986","5,862,059","5,965,904","6,685,366","6,558,136","7,768,046","8,782,758","11,401,556","12,644,240"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C14 의복, 의복액세서리 및 모피제품","종합","매입채무","백만원","원자료","2,985,078","2,906,433","3,263,318","3,327,944","3,276,429","3,362,988","3,379,008","3,230,232","2,978,761","2,954,848","3,464,586","3,401,153","3,865,691","4,366,292"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","매출채권","백만원","원자료","1,039,955","1,180,450","1,261,587","1,428,659","1,404,160","1,304,073","1,377,448","1,511,223","1,505,564","1,369,236","1,508,265","1,533,542","1,571,877","1,846,672"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","유형자산","백만원","원자료","1,614,053","1,729,854","1,722,717","1,824,245","1,962,059","2,087,135","2,075,806","2,200,149","2,333,047","2,360,783","2,515,165","2,443,552","2,528,259","2,592,024"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C15 가죽, 가방 및 신발","종합","매입채무","백만원","원자료","675,051","756,454","776,098","837,777","836,347","784,464","759,347","756,790","769,307","695,818","820,578","820,077","744,946","989,932"
