부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.25,0.1,0.35,0.1,0.15,0.05,-0.18946962611650722,7.706294220180327e-05
0.6,0.05,0.1,0.05,0.15,0.05,-0.18946467615408955,7.70968441597828e-05
0.35,0.1,0.05,0.05,0.4,0.05,-0.18945426416417652,7.71682010459367e-05
0.25,0.05,0.15,0.1,0.4,0.05,-0.18944077978379742,7.726070654242616e-05
0.35,0.05,0.2,0.1,0.25,0.05,-0.18940869037226224,7.748126653876889e-05
0.2,0.05,0.3,0.05,0.3,0.1,-0.18932215137413283,7.807903542567843e-05
0.3,0.1,0.35,0.05,0.15,0.05,-0.18900876754658735,8.02802920256069e-05
0.25,0.05,0.2,0.05,0.35,0.1,-0.18889372359246662,8.110294808135841e-05
0.2,0.05,0.35,0.05,0.25,0.1,-0.18867746144132272,8.267093120296617e-05
0.3,0.05,0.3,0.05,0.2,0.1,-0.1885764139326588,8.34133103116831e-05
0.2,0.15,0.3,0.05,0.25,0.05,-0.1880394283545226,8.746492732206953e-05
0.3,0.1,0.2,0.05,0.25,0.1,-0.1880332835735903,8.751234494428411e-05
0.2,0.1,0.05,0.1,0.5,0.05,-0.18732799927325366,9.311856918888968e-05
0.3,0.15,0.25,0.05,0.2,0.05,-0.1871515075098103,9.45734401505943e-05
0.2,0.1,0.45,0.05,0.15,0.05,-0.18693934187928793,9.635069256162637e-05
0.25,0.15,0.1,0.05,0.4,0.05,-0.18687448030278067,9.690026125722616e-05
0.3,0.05,0.1,0.05,0.4,0.1,-0.18687448030278067,9.690026125722616e-05
0.5,0.05,0.25,0.05,0.1,0.05,-0.1868417081378086,9.717905831460373e-05
0.25,0.1,0.4,0.05,0.15,0.05,-0.1867329796529794,9.81094406785139e-05
0.2,0.05,0.35,0.1,0.25,0.05,-0.1861838752013378,0.00010293749789034329
0.2,0.1,0.15,0.1,0.35,0.1,-0.1861591253892495,0.00010316029067055023
0.25,0.05,0.25,0.1,0.3,0.05,-0.18602786604100197,0.0001043494606217566
0.2,0.1,0.05,0.05,0.55,0.05,-0.18601608854421514,0.00010445678907125825
0.3,0.05,0.25,0.1,0.25,0.05,-0.18594252186138718,0.00010512955607281283
0.35,0.1,0.1,0.1,0.3,0.05,-0.1859297272657778,0.00010524697774827608
0.4,0.1,0.05,0.05,0.35,0.05,-0.18573342862133096,0.0001070640299848056
0.2,0.1,0.4,0.05,0.2,0.05,-0.18551580096331324,0.00010911297742010096
0.25,0.15,0.2,0.05,0.3,0.05,-0.18549890281574952,0.00010927360491778353
0.25,0.1,0.05,0.1,0.45,0.05,-0.18544342909899988,0.00010980248160640974
0.2,0.15,0.25,0.05,0.3,0.05,-0.18522665488277834,0.000111892331862508
0.2,0.15,0.15,0.05,0.4,0.05,-0.1851933706527286,0.0001122165063900722
0.6,0.05,0.2,0.05,0.05,0.05,-0.18497885735742273,0.00011432704991911606
0.3,0.05,0.15,0.1,0.35,0.05,-0.18474787403513937,0.00011664132245396794
0.3,0.1,0.2,0.1,0.25,0.05,-0.18468983999300131,0.00011722965958677802
0.3,0.1,0.1,0.1,0.35,0.05,-0.1846685039480976,0.00011744666022222918
0.45,0.15,0.05,0.05,0.25,0.05,-0.1846679918830199,0.00011745187287276907
0.2,0.1,0.1,0.05,0.45,0.1,-0.18463300076937786,0.00011780858610808856
0.3,0.05,0.2,0.05,0.3,0.1,-0.18452324815439325,0.00011893406317602943
0.6,0.05,0.05,0.05,0.2,0.05,-0.1843233720857354,0.00012100972400140982
0.25,0.1,0.05,0.05,0.5,0.05,-0.18425082953306285,0.00012177144121431761
