변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,총자본영업이익률,도입기 vs 성숙기,-1.9202,3.8138,-5.7341,652.507,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 쇠퇴기,-1.9202,-3.1453,1.225,22.2269,0.0001,***
기본 재무비율,총자본영업이익률,성장기 vs 성숙기,2.2578,3.8138,-1.556,20.8391,0.0001,***
기본 재무비율,총자본영업이익률,성장기 vs 쇠퇴기,2.2578,-3.1453,5.4031,218.9841,0.0,***
기본 재무비율,총자본영업이익률,성숙기 vs 쇠퇴기,3.8138,-3.1453,6.9591,675.8605,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성장기,14.2849,66.5058,-52.2209,696.7662,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성숙기,14.2849,51.0516,-36.7668,768.0099,0.0,***
기본 재무비율,매출총이익률,도입기 vs 쇠퇴기,14.2849,25.7568,-11.472,55.8032,0.0,***
기본 재무비율,매출총이익률,성장기 vs 성숙기,66.5058,51.0516,15.4541,58.8487,0.0,***
기본 재무비율,매출총이익률,성장기 vs 쇠퇴기,66.5058,25.7568,40.7489,356.5817,0.0,***
기본 재무비율,매출총이익률,성숙기 vs 쇠퇴기,51.0516,25.7568,25.2948,255.6292,0.0,***
기본 재무비율,영업이익률,도입기 vs 성장기,-3814.5222,-146.554,-3667.9682,812.8626,0.0,***
기본 재무비율,영업이익률,도입기 vs 성숙기,-3814.5222,-150.3343,-3664.1879,1803.7619,0.0,***
기본 재무비율,영업이익률,도입기 vs 쇠퇴기,-3814.5222,-2617.5884,-1196.9338,143.6454,0.0,***
기본 재무비율,영업이익률,성장기 vs 성숙기,-146.554,-150.3343,3.7803,0.0008,1.0,n.s.
기본 재무비율,영업이익률,성장기 vs 쇠퇴기,-146.554,-2617.5884,2471.0344,310.0642,0.0,***
기본 재무비율,영업이익률,성숙기 vs 쇠퇴기,-150.3343,-2617.5884,2467.2541,575.0999,0.0,***
기본 재무비율,순이익률,도입기 vs 성장기,-10252.2372,-281.1222,-9971.1151,667.9761,0.0,***
기본 재무비율,순이익률,도입기 vs 성숙기,-10252.2372,-270.0542,-9982.183,1488.6146,0.0,***
기본 재무비율,순이익률,도입기 vs 쇠퇴기,-10252.2372,-6487.9901,-3764.2471,157.9848,0.0,***
기본 재무비율,순이익률,성장기 vs 성숙기,-281.1222,-270.0542,-11.0679,0.0008,1.0,n.s.
기본 재무비율,순이익률,성장기 vs 쇠퇴기,-281.1222,-6487.9901,6206.8679,217.5437,0.0,***
기본 재무비율,순이익률,성숙기 vs 쇠퇴기,-270.0542,-6487.9901,6217.9358,406.1772,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 성장기,-3636.0916,-128.5648,-3507.5269,796.3416,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 성숙기,-3636.0916,-138.0306,-3498.061,1761.2049,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 쇠퇴기,-3636.0916,-2462.6852,-1173.4064,147.904,0.0,***
기본 재무비율,EBITDA마진,성장기 vs 성숙기,-128.5648,-138.0306,9.4659,0.0056,0.9999,n.s.
기본 재무비율,EBITDA마진,성장기 vs 쇠퇴기,-128.5648,-2462.6852,2334.1204,296.3957,0.0,***
기본 재무비율,EBITDA마진,성숙기 vs 쇠퇴기,-138.0306,-2462.6852,2324.6546,546.9703,0.0,***
기본 재무비율,현금ROA,도입기 vs 성장기,-3.19,6.1607,-9.3507,124.2541,0.0,***
기본 재무비율,현금ROA,도입기 vs 성숙기,-3.19,17.4813,-20.6713,1350.2636,0.0,***
기본 재무비율,현금ROA,도입기 vs 쇠퇴기,-3.19,-5.7535,2.5635,15.4979,0.0014,**
기본 재무비율,현금ROA,성장기 vs 성숙기,6.1607,17.4813,-11.3207,175.6366,0.0,***
기본 재무비율,현금ROA,성장기 vs 쇠퇴기,6.1607,-5.7535,11.9142,169.543,0.0,***
기본 재무비율,현금ROA,성숙기 vs 쇠퇴기,17.4813,-5.7535,23.2348,1199.6433,0.0,***
기본 재무비율,현금ROE,도입기 vs 성장기,560.3789,223.2283,337.1506,223.8055,0.0,***
기본 재무비율,현금ROE,도입기 vs 성숙기,560.3789,329.6411,230.7378,233.087,0.0,***
기본 재무비율,현금ROE,도입기 vs 쇠퇴기,560.3789,400.371,160.0079,83.6549,0.0,***
기본 재무비율,현금ROE,성장기 vs 성숙기,223.2283,329.6411,-106.4128,21.501,0.0001,***
기본 재무비율,현금ROE,성장기 vs 쇠퇴기,223.2283,400.371,-177.1427,51.9275,0.0,***
기본 재무비율,현금ROE,성숙기 vs 쇠퇴기,329.6411,400.371,-70.7299,15.402,0.0015,**
기본 재무비율,매출원가율,도입기 vs 성장기,85.6863,33.4949,52.1914,696.0006,0.0,***
기본 재무비율,매출원가율,도입기 vs 성숙기,85.6863,48.9475,36.7387,766.8638,0.0,***
기본 재무비율,매출원가율,도입기 vs 쇠퇴기,85.6863,74.2658,11.4204,55.3047,0.0,***
기본 재무비율,매출원가율,성장기 vs 성숙기,33.4949,48.9475,-15.4526,58.8391,0.0,***
기본 재무비율,매출원가율,성장기 vs 쇠퇴기,33.4949,74.2658,-40.7709,356.9784,0.0,***
기본 재무비율,매출원가율,성숙기 vs 쇠퇴기,48.9475,74.2658,-25.3183,256.1127,0.0,***
기본 재무비율,판관비율,도입기 vs 성장기,3675.1259,210.1198,3465.0062,855.3277,0.0,***
기본 재무비율,판관비율,도입기 vs 성숙기,3675.1259,192.4596,3482.6663,1921.3478,0.0,***
기본 재무비율,판관비율,도입기 vs 쇠퇴기,3675.1259,2535.2041,1139.9218,153.6244,0.0,***
기본 재무비율,판관비율,성장기 vs 성숙기,210.1198,192.4596,17.6602,0.0214,0.9992,n.s.
기본 재무비율,판관비율,성장기 vs 쇠퇴기,210.1198,2535.2041,-2325.0843,323.6905,0.0,***
기본 재무비율,판관비율,성숙기 vs 쇠퇴기,192.4596,2535.2041,-2342.7445,611.3978,0.0,***
기본 재무비율,감가상각비율,도입기 vs 성장기,221.3239,18.2561,203.0678,757.1551,0.0,***
기본 재무비율,감가상각비율,도입기 vs 성숙기,221.3239,12.1908,209.1331,1785.6891,0.0,***
기본 재무비율,감가상각비율,도입기 vs 쇠퇴기,221.3239,150.5959,70.728,152.4301,0.0,***
기본 재무비율,감가상각비율,성장기 vs 성숙기,18.2561,12.1908,6.0653,0.6514,0.8846,n.s.
기본 재무비율,감가상각비율,성장기 vs 쇠퇴기,18.2561,150.5959,-132.3398,270.2787,0.0,***
기본 재무비율,감가상각비율,성숙기 vs 쇠퇴기,12.1908,150.5959,-138.4051,549.9919,0.0,***
기본 재무비율,총자산회전율,도입기 vs 성장기,0.2168,0.557,-0.3402,156.0507,0.0,***
기본 재무비율,총자산회전율,도입기 vs 성숙기,0.2168,0.882,-0.6652,1327.0721,0.0,***
기본 재무비율,총자산회전율,도입기 vs 쇠퇴기,0.2168,0.2932,-0.0764,13.078,0.0045,**
기본 재무비율,총자산회전율,성장기 vs 성숙기,0.557,0.882,-0.3251,137.4323,0.0,***
기본 재무비율,총자산회전율,성장기 vs 쇠퇴기,0.557,0.2932,0.2637,78.8331,0.0,***
기본 재무비율,총자산회전율,성숙기 vs 쇠퇴기,0.882,0.2932,0.5888,731.0728,0.0,***
