변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
전기대비_비율(ratio),장기부채비율_ratio,89.3137,0.0,***,0.0426,소
전기대비_비율(ratio),장기부채의존도_ratio,69.5111,0.0,***,0.0335,소
전기대비_비율(ratio),차입금의존도_ratio,402.9458,0.0,***,0.1671,대
전기대비_비율(ratio),순차입금비율_ratio,89.8371,0.0,***,0.0428,소
전기대비_비율(ratio),금융부채비율_ratio,89.6113,0.0,***,0.0427,소
전기대비_비율(ratio),자기자본비율_ratio,176.5732,0.0,***,0.0808,중
전기대비_비율(ratio),유보율_ratio,72.6839,0.0,***,0.0349,소
전기대비_비율(ratio),자본잠식률_ratio,64.8622,0.0,***,0.0313,소
전기대비_비율(ratio),유동비율_ratio,82.0721,0.0,***,0.0393,소
전기대비_비율(ratio),당좌비율_추정_ratio,82.4023,0.0,***,0.0394,소
전기대비_비율(ratio),현금비율_ratio,83.8852,0.0,***,0.0401,소
전기대비_비율(ratio),순운전자본비율_ratio,156.2378,0.0,***,0.0722,중
전기대비_비율(ratio),순운전자본회전율_ratio,2.0843,0.100051,n.s.,0.001,소
전기대비_비율(ratio),금융비용부담률_ratio,105.048,0.0,***,0.0497,소
전기대비_비율(ratio),비유동비율_ratio,84.4706,0.0,***,0.0404,소
전기대비_비율(ratio),비유동장기적합률_ratio,36.56,0.0,***,0.0179,소
전기대비_비율(ratio),유형자산비율_ratio,89.9189,0.0,***,0.0429,소
전기대비_비율(ratio),유형자산부채비율_ratio,51.2453,0.0,***,0.0249,소
전기대비_비율(ratio),ROA_ratio,185.9732,0.0,***,0.0848,중
전기대비_비율(ratio),ROE_ratio,7.9631,2.7e-05,***,0.0039,소
전기대비_비율(ratio),ROIC_ratio,64.39,0.0,***,0.0311,소
전기대비_비율(ratio),총자본영업이익률_ratio,235.7129,0.0,***,0.105,중
전기대비_비율(ratio),매출총이익률_ratio,28.6763,0.0,***,0.0141,소
전기대비_비율(ratio),영업이익률_ratio,72.291,0.0,***,0.0347,소
전기대비_비율(ratio),순이익률_ratio,74.4964,0.0,***,0.0358,소
전기대비_비율(ratio),EBITDA마진_ratio,67.9489,0.0,***,0.0327,소
전기대비_비율(ratio),영업현금흐름비율_ratio,53.1277,0.0,***,0.0258,소
전기대비_비율(ratio),현금ROA_ratio,507.5467,0.0,***,0.2017,대
전기대비_비율(ratio),현금ROE_ratio,2.2457,0.080881,n.s.,0.0011,소
전기대비_비율(ratio),매출원가율_ratio,23.6999,0.0,***,0.0117,소
전기대비_비율(ratio),판관비율_ratio,65.8526,0.0,***,0.0317,소
전기대비_비율(ratio),감가상각비율_ratio,47.3561,0.0,***,0.023,소
전기대비_비율(ratio),총자산회전율_ratio,15.4514,0.0,***,0.0076,소
전기대비_비율(ratio),유동자산회전율_ratio,22.8984,0.0,***,0.0113,소
전기대비_비율(ratio),비유동자산회전율_ratio,16.3818,0.0,***,0.0081,소
전기대비_비율(ratio),유형자산회전율_ratio,7.3932,6.1e-05,***,0.0037,소
전기대비_비율(ratio),자기자본회전율_ratio,3.419,0.016564,*,0.0017,소
전기대비_비율(ratio),투하자본회전율_ratio,22.1872,0.0,***,0.0109,소
전기대비_비율(ratio),매출채권회전율_ratio,24.2339,0.0,***,0.0119,소
전기대비_비율(ratio),매출채권회수기간_ratio,20.8734,0.0,***,0.0103,소
전기대비_비율(ratio),재고자산회전율_ratio,11.4466,0.0,***,0.0057,소
전기대비_비율(ratio),재고자산보유기간_ratio,47.9906,0.0,***,0.0233,소
전기대비_비율(ratio),매입채무회전율_ratio,8.6312,1e-05,***,0.0043,소
전기대비_비율(ratio),매입채무지급기간_ratio,30.4388,0.0,***,0.0149,소
전기대비_비율(ratio),현금전환주기_CCC_ratio,2.7081,0.043607,*,0.0013,소
전기대비_비율(ratio),영업CF_유동부채_ratio,389.1529,0.0,***,0.1623,대
전기대비_비율(ratio),영업CF_총부채_ratio,418.0589,0.0,***,0.1723,대
전기대비_비율(ratio),FCF_ratio,10.9477,0.0,***,0.0054,소
전기대비_비율(ratio),FCF_총자산_ratio,32.8125,0.0,***,0.0161,소
전기대비_비율(ratio),매출액증가율_ratio,8.8684,7e-06,***,0.0044,소
전기대비_비율(ratio),영업이익증가율_ratio,1.6091,0.185011,n.s.,0.0008,소
전기대비_비율(ratio),순이익증가율_ratio,2.9835,0.030036,*,0.0015,소
전기대비_비율(ratio),EBITDA증가율_ratio,4.3614,0.004485,**,0.0022,소
전기대비_비율(ratio),총자산증가율_ratio,102.105,0.0,***,0.0484,소
전기대비_비율(ratio),유형자산증가율_ratio,14.3408,0.0,***,0.0071,소
전기대비_비율(ratio),자기자본증가율_ratio,16.4947,0.0,***,0.0081,소
전기대비_비율(ratio),부채증가율_ratio,50.4618,0.0,***,0.0245,소
전기대비_비율(ratio),영업현금흐름증가율_ratio,19.9584,0.0,***,0.0098,소
전기대비_비율(ratio),FCF증가율_ratio,30.029,0.0,***,0.0147,소
전기대비_비율(ratio),ROA변화_ratio,0.8968,0.441929,n.s.,0.0004,소
