통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","매출원가","백만원","원자료","5,587,542","5,672,464","5,916,660","6,123,919","6,117,869","6,521,191","6,854,803","6,972,702","6,708,691","7,173,386","8,242,218","8,414,557","8,578,701"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","영업손익","백만원","원자료","1,112,686","1,249,508","1,033,643","1,251,917","1,170,800","1,225,360","1,250,856","1,148,775","1,162,968","1,206,296","1,391,191","1,152,825","1,253,923"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","매출액","백만원","원자료","4,670,158","4,802,717","4,948,193","5,029,470","5,002,083","5,137,131","5,116,715","5,087,651","5,022,841","5,012,538","5,827,050","5,542,003","5,803,053"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","매출원가","백만원","원자료","2,474,315","2,472,386","2,609,961","2,590,999","2,528,151","2,574,548","2,621,419","2,658,859","2,692,842","2,741,008","3,182,201","3,111,744","3,059,245"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C111 알코올음료","종합","영업손익","백만원","원자료","752,761","862,180","722,242","822,988","755,986","804,672","741,853","600,264","612,896","559,301","729,347","464,883","696,682"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","매출액","백만원","원자료","5,045,848","5,244,555","5,393,071","5,848,320","5,913,956","6,463,913","6,744,582","6,925,996","6,498,120","7,195,617","8,030,279","8,445,299","8,671,553"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","매출원가","백만원","원자료","3,113,227","3,200,078","3,306,699","3,532,920","3,589,718","3,946,643","4,233,384","4,313,844","4,015,849","4,432,378","5,060,017","5,302,813","5,519,456"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C112 비알코올음료 및 얼음","종합","영업손익","백만원","원자료","359,925","387,329","311,401","428,929","414,814","420,687","509,003","548,511","550,072","646,995","661,844","687,943","557,241"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","매출액","백만원","원자료","29,602,327","29,398,371","29,641,401","26,418,216","26,451,699","26,061,063","28,080,525","27,802,229","27,175,687","27,925,213","29,568,010","26,510,912","26,582,819"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","매출원가","백만원","원자료","25,481,537","25,099,026","25,198,683","21,983,695","21,790,237","21,553,983","23,427,605","23,042,488","21,508,792","22,847,394","24,174,700","21,515,517","21,435,507"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C13 섬유제품(의복 제외)","종합","영업손익","백만원","원자료","831,639","1,074,812","892,830","977,814","1,157,731","917,670","762,845","798,167","1,517,823","687,685","842,617","560,585","612,083"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","매출액","백만원","원자료","5,598,186","4,623,680","4,586,601","4,172,809","4,164,571","3,699,767","4,136,484","3,966,946","3,175,111","3,646,819","3,538,772","2,935,459","2,790,537"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","매출원가","백만원","원자료","5,116,870","4,143,082","4,131,169","3,696,726","3,633,090","3,260,173","3,625,559","3,484,987","2,759,366","3,080,326","3,087,777","2,623,484","2,420,535"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C131 방적 및 가공사","종합","영업손익","백만원","원자료","-42,331","126,242","7,917","83,736","138,982","63,970","62,212","61,720","48,700","178,849","41,169","-33,743","9,303"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","매출액","백만원","원자료","11,530,895","12,313,738","12,371,127","11,878,569","11,648,290","11,471,665","12,279,882","12,141,447","12,096,158","12,262,285","13,223,174","11,810,337","11,864,986"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","매출원가","백만원","원자료","9,809,779","10,422,766","10,423,495","9,825,406","9,572,420","9,472,104","10,197,036","10,023,304","9,255,426","9,853,981","10,520,878","9,300,944","9,374,806"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C132 직물직조 및 직물제품","종합","영업손익","백만원","원자료","363,028","401,186","364,872","419,872","432,807","330,795","302,704","310,447","760,432","185,118","425,793","300,490","259,269"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","매출액","백만원","원자료","12,473,246","12,460,954","12,683,673","10,366,837","10,638,837","10,889,631","11,664,160","11,693,836","11,904,418","12,016,109","12,806,063","11,765,116","11,927,296"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C133,4,9 기타 섬유제품","종합","매출원가","백만원","원자료","10,554,888","10,533,178","10,644,019","8,461,563","8,584,727","8,821,706","9,605,009","9,534,197","9,494,000","9,913,087","10,566,045","9,591,089","9,640,166"
