사업자등록번호,연도,생애주기,부실라벨_ICR3년,V1_PD값,V2_PD차이,V3_생애주기점수,V4_포터5F,V5_산업민감도,V6_기업민감도,V1_PD값_s,V2_PD차이_s,V3_생애주기점수_s,V4_포터5F_s,V5_산업민감도_s,V6_기업민감도_s,가중합_raw,최종스코어
2028144675,2015,성장기,0,0.0008,-0.0015,0.0,-0.2381067415597067,-2.659061,13.083213383937618,-0.445669115665848,-0.11246939908652973,-0.8667799742593326,1.0,0.0,0.33044201798999656,-0.04005749741117816,1.17
2028144675,2016,성숙기,0,0.0112,0.0104,0.0,-1.46537003802111,-0.499253,2.722796372344974,-0.37073230432747994,-0.09191417444109017,-0.7699833253903918,0.5626178608641106,0.42551982556864654,0.39457271853791204,-0.02793507560020078,2.97
2028144675,2017,성장기,0,0.5416,0.5304,2.4,-2.06638349452693,-0.250013,4.012062625595863,2.0296150291261865,2.650257943886737,-0.7196478345826686,0.34842376574701805,0.47462445029673783,0.32615352502613776,0.17260722229822983,32.82
2028144675,2018,조정기,0,0.6742,0.1326,44.1,-2.327327148612646,0.941866,2.60949320205251,2.521294436656535,0.43994426928762265,0.251825327952986,0.25542653039660407,0.7094453900186636,0.22276857200499142,0.3245488181106085,55.43
2028144675,2019,성숙기,1,0.8743,0.2001,0.0,-1.4532576851219212,0.585123,2.534681806694831,3.1685201716781584,0.6698805608063909,-0.7719475748253838,0.5669345603338096,0.6391608003084506,0.12718373435728447,0.4039751270849774,67.25
2028145975,2015,쇠퇴기,0,0.2911,0.1166,100.0,-0.2381067415597067,-2.659061,16.3505395709706,0.7549371815015884,0.41488853287094557,1.7718814825094158,1.0,0.0,0.41255935701556257,0.08720999031607496,20.11
2028145975,2016,성장기,0,0.4001,0.109,0.9,-1.46537003802111,-0.499253,37.52341608343068,1.3644765289595833,0.36941743927935444,-0.746608735038641,0.5626178608641106,0.42551982556864654,3.821167293372698,0.17812976477980239,33.64
2028145975,2017,조정기,0,0.0466,-0.3535,34.2,-2.06638349452693,-0.250013,58.20635427511567,-0.2100376504948615,-2.1206714097783324,0.10375700142961199,0.34842376574701805,0.47462445029673783,4.277544303975036,0.06925981664056423,17.44
2028145975,2018,조정기,0,0.0057,-0.0409,44.1,-2.327327148612646,0.941866,40.24515626129963,-0.4016736677090269,-0.42148317819910425,0.251825327952986,0.25542653039660407,0.7094453900186636,2.636218362583683,-0.019571257905497248,4.22
2028145975,2019,조정기,0,0.0045,-0.0012,43.2,-1.4532576851219212,0.585123,38.52017972310504,-0.4251378220045057,-0.29394673854482534,0.31861566082226384,0.5669345603338096,0.6391608003084506,3.0303408310025657,-0.025841044150224035,3.28
2028145975,2020,성숙기,0,0.0008,-0.0037,0.0,-3.044035897437074,0.743401,20.473555643043905,-0.38986502448329263,-0.14944141150047444,-0.7564582441067854,0.0,0.6703443253955668,3.146641086735949,-0.029588647129610124,2.72
2028145975,2021,성숙기,0,0.0036,0.0028,5.0,-0.8731170387990218,0.914785,15.822612402442068,-0.37972031715640714,-0.24419087651374083,-0.6983886938609404,0.7736898325072794,0.7041099609452345,2.7536289649839376,-0.015668827967032232,4.8
2028145975,2022,성장기,0,0.0003,-0.0033,3.4,-0.5694733102506749,2.112482,5.370055994073475,-0.3892682468481462,-0.15673633133321968,-0.768978500990952,0.8819048699084652,0.9400771480859855,0.8038376571499235,-0.014384874468491871,4.99
2028145975,2023,성숙기,0,0.0005,0.0002,0.0,-1.2913906244043545,2.14683,5.373656391218354,-0.49144193556812177,-0.32746044540867525,-1.060078522428141,0.6246220683660477,0.9468443028370708,0.6218839923216123,-0.022697874558493175,3.75
