사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018121627,주식회사코스모스악기,2017,성숙기,0,34.84,0.0,47.46,40.52,0.05,48.91,11.0,매우 안정,
1018121627,주식회사코스모스악기,2018,성숙기,0,25.54,0.0,70.94,51.74,0.06,48.94,13.4,매우 안정,
1018121627,주식회사코스모스악기,2019,도입기,0,56.69,89.9,63.92,47.72,0.09,47.44,32.0,안정,
1018121627,주식회사코스모스악기,2020,도입기,0,0.0,100.0,67.03,56.14,0.09,50.51,32.1,안정,
1018121627,주식회사코스모스악기,2021,성숙기,0,77.37,2.6,70.41,58.7,0.07,49.41,16.9,매우 안정,
1018121627,주식회사코스모스악기,2022,성숙기,0,88.19,0.0,94.01,28.83,0.03,51.28,17.8,매우 안정,
1018121627,주식회사코스모스악기,2023,성숙기,0,62.46,0.0,94.68,44.14,0.05,47.79,17.2,매우 안정,
1018121627,주식회사코스모스악기,2024,조정기,0,77.47,31.7,100.0,51.06,0.08,48.82,25.3,매우 안정,
1018122854,석영브라이스톤,2015,쇠퇴기,0,100.0,100.0,0.0,53.1,3.19,26.72,30.7,안정,
1018122854,석영브라이스톤,2016,조정기,0,56.26,25.3,42.55,51.87,4.24,51.39,19.6,매우 안정,
1018122854,석영브라이스톤,2017,성장기,0,34.84,1.1,47.46,43.38,69.18,83.24,51.1,위험,
1018122854,석영브라이스톤,2018,성숙기,0,25.54,0.0,70.94,53.4,5.62,15.24,14.9,매우 안정,
1018122854,석영브라이스톤,2019,조정기,0,56.69,30.1,63.92,56.42,14.72,52.38,28.8,매우 안정,
1018122854,석영브라이스톤,2020,조정기,0,0.0,29.0,67.03,58.84,2.36,43.91,18.9,매우 안정,
1018122854,석영브라이스톤,2021,조정기,0,77.37,31.7,70.41,59.62,0.04,48.24,22.7,매우 안정,
1018122854,석영브라이스톤,2022,도입기,0,88.19,76.6,94.01,32.53,0.03,51.3,33.3,안정,
1018122854,석영브라이스톤,2023,도입기,0,62.46,100.0,94.68,47.82,0.92,48.27,37.9,안정,
1018122854,석영브라이스톤,2024,도입기,0,77.47,100.0,100.0,53.32,2.78,49.8,40.6,중립,
1018124696,태원과학주식회사,2015,성숙기,0,100.0,3.2,0.0,49.11,0.02,49.93,10.6,매우 안정,
1018124696,태원과학주식회사,2016,성숙기,0,56.26,0.0,42.55,40.58,0.02,50.81,11.6,매우 안정,
1018124696,태원과학주식회사,2017,도입기,0,34.84,83.9,47.46,29.98,0.04,48.92,27.2,매우 안정,
1018124696,태원과학주식회사,2018,성장기,0,25.54,4.0,70.94,42.76,0.05,48.94,13.8,매우 안정,
1018124696,태원과학주식회사,2019,성숙기,0,56.69,0.0,63.92,41.71,0.04,47.42,13.7,매우 안정,
