부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.2,0.05,0.45,0.1,0.1,0.1,0.25514296199409325,2.385936935178721e-68
0.4,0.1,0.3,0.05,0.05,0.1,0.25510032566080176,2.5156251966283238e-68
0.3,0.1,0.3,0.05,0.05,0.2,0.2550919110008097,2.5420383972821744e-68
0.35,0.05,0.35,0.05,0.1,0.1,0.25488103628611974,3.3022123739973176e-68
0.3,0.05,0.25,0.05,0.05,0.3,0.2548549248716803,3.410883395597547e-68
0.2,0.05,0.4,0.1,0.05,0.2,0.25471859528595986,4.038856641151546e-68
0.3,0.05,0.3,0.05,0.1,0.2,0.2546895089067684,4.1870777268260784e-68
0.35,0.1,0.4,0.05,0.05,0.05,0.2546659683727314,4.310996570547103e-68
0.5,0.1,0.25,0.05,0.05,0.05,0.2545001319287757,5.2938684239801256e-68
0.25,0.1,0.4,0.05,0.1,0.1,0.2544832014018186,5.405994024914339e-68
0.4,0.15,0.3,0.05,0.05,0.05,0.2544121728506356,5.902764012448779e-68
0.25,0.1,0.4,0.1,0.1,0.05,0.25438480826245485,6.106065294205398e-68
0.25,0.1,0.35,0.05,0.05,0.2,0.25426624685321175,7.070610890881325e-68
0.2,0.05,0.45,0.1,0.05,0.15,0.2542178264226472,7.506897538502245e-68
0.3,0.05,0.35,0.05,0.1,0.15,0.25416428598434887,8.02060534651754e-68
0.25,0.05,0.35,0.1,0.05,0.2,0.2539887984985647,9.962789915078281e-68
0.35,0.05,0.4,0.1,0.05,0.05,0.2537513151849604,1.3356945872620841e-67
0.25,0.15,0.35,0.05,0.05,0.15,0.25374288109232185,1.3496669419096816e-67
0.2,0.15,0.4,0.05,0.1,0.1,0.2536962493743137,1.4295895001287467e-67
0.25,0.05,0.4,0.05,0.1,0.15,0.25360457495968197,1.6007160889964743e-67
0.2,0.1,0.4,0.1,0.1,0.1,0.25360261963877967,1.6045801198054324e-67
0.25,0.1,0.4,0.15,0.05,0.05,0.2535779703012269,1.6540956918789014e-67
0.25,0.05,0.4,0.1,0.1,0.1,0.2535742459593822,1.6617083965737768e-67
0.3,0.05,0.45,0.1,0.05,0.05,0.2535169156956132,1.7833964369940345e-67
0.25,0.05,0.35,0.05,0.05,0.25,0.2534428490157033,1.9538426475683536e-67
0.2,0.1,0.4,0.1,0.05,0.15,0.2533317091457026,2.2405202947660177e-67
0.3,0.1,0.4,0.05,0.1,0.05,0.25332363452364254,2.262911749748255e-67
0.2,0.05,0.55,0.05,0.1,0.05,0.2532518662748285,2.4719873178697752e-67
0.2,0.05,0.45,0.15,0.05,0.1,0.25312685326518325,2.883158724306688e-67
0.55,0.05,0.2,0.05,0.1,0.05,0.2530570992422715,3.1415029052244665e-67
0.45,0.05,0.2,0.05,0.05,0.2,0.2529964799040568,3.384670350937907e-67
0.2,0.2,0.4,0.1,0.05,0.05,0.2529943794912984,3.393423975825387e-67
0.2,0.15,0.4,0.1,0.1,0.05,0.2529294797343037,3.675304413388802e-67
0.3,0.15,0.35,0.05,0.05,0.1,0.25290119234773173,3.805354138226687e-67
0.35,0.15,0.3,0.05,0.05,0.1,0.25286854404752745,3.9611622217307655e-67
0.2,0.05,0.55,0.1,0.05,0.05,0.25278485179086113,4.390213619208017e-67
0.2,0.05,0.35,0.05,0.05,0.3,0.25270263449774216,4.856744842915701e-67
0.3,0.1,0.35,0.05,0.05,0.15,0.2525073262152773,6.172624043314944e-67
0.25,0.15,0.4,0.1,0.05,0.05,0.2524945466418133,6.270177276180599e-67
0.2,0.05,0.5,0.05,0.1,0.1,0.25249125805372863,6.295528340876248e-67
0.2,0.05,0.45,0.05,0.1,0.15,0.252484500596384,6.347941189808997e-67
0.2,0.1,0.4,0.05,0.15,0.1,0.252418969436192,6.879320276784587e-67
0.2,0.15,0.35,0.05,0.05,0.2,0.25236777559690365,7.325084460171313e-67
0.25,0.05,0.45,0.05,0.1,0.1,0.25236104445740937,7.385796607108679e-67
0.4,0.05,0.35,0.1,0.05,0.05,0.2523134674092304,7.829457957435585e-67
0.65,0.05,0.15,0.05,0.05,0.05,0.2522584062783611,8.37615148729736e-67
0.4,0.1,0.3,0.05,0.1,0.05,0.2521866521650181,9.146044974214061e-67
0.25,0.1,0.3,0.05,0.05,0.25,0.25211080756820026,1.0036581958555644e-66
0.2,0.15,0.4,0.1,0.05,0.1,0.2520891531026883,1.0306338530422222e-66
0.35,0.1,0.35,0.1,0.05,0.05,0.2520530980931651,1.0771607352069437e-66
0.5,0.05,0.2,0.05,0.1,0.1,0.2519563544162627,1.2126040652523794e-66
0.35,0.05,0.35,0.05,0.15,0.05,0.251922681150785,1.2636238913568432e-66
0.4,0.05,0.3,0.05,0.15,0.05,0.2518700969205463,1.347606940091997e-66
0.3,0.05,0.45,0.05,0.1,0.05,0.25186157205255716,1.3617365115853738e-66
0.2,0.1,0.4,0.15,0.05,0.1,0.25182385997308365,1.4260344055591584e-66
0.25,0.05,0.45,0.1,0.1,0.05,0.25176503640244907,1.5324170554669192e-66
0.3,0.05,0.35,0.1,0.05,0.15,0.25169768207646226,1.66396947643427e-66
0.2,0.1,0.4,0.1,0.15,0.05,0.2515728536754892,1.9382360743813275e-66
0.35,0.05,0.4,0.05,0.1,0.05,0.2514772331957352,2.178405766316143e-66
0.35,0.1,0.3,0.05,0.05,0.15,0.25146011263096774,2.2244360001655927e-66
0.3,0.05,0.4,0.1,0.1,0.05,0.25142173072948326,2.3311811055324144e-66
0.2,0.05,0.45,0.1,0.15,0.05,0.25136536179838587,2.4972688594709575e-66
0.3,0.2,0.35,0.05,0.05,0.05,0.2513647092844939,2.4992589092144293e-66
0.25,0.15,0.4,0.05,0.1,0.05,0.2512004999084439,3.0537884137436024e-66
0.2,0.05,0.45,0.05,0.15,0.1,0.25113472985824475,3.308855242207928e-66
0.45,0.05,0.3,0.1,0.05,0.05,0.2510356604924153,3.733670924333248e-66
0.35,0.05,0.3,0.1,0.05,0.15,0.2509433346131342,4.1783282024292525e-66
0.25,0.05,0.5,0.05,0.1,0.05,0.25093623525853176,4.214628293776994e-66
0.3,0.15,0.3,0.05,0.05,0.15,0.25092613147718557,4.266832913245642e-66
0.35,0.1,0.25,0.05,0.05,0.2,0.2509198336727637,4.2996980789073583e-66
0.2,0.05,0.35,0.1,0.1,0.2,0.2508603397278367,4.6228843466197793e-66
0.45,0.1,0.25,0.05,0.05,0.1,0.25079084706625304,5.031149567676138e-66
0.35,0.1,0.3,0.05,0.1,0.1,0.25074870253896453,5.296044095594961e-66
0.2,0.1,0.3,0.05,0.05,0.3,0.250707777584772,5.566562044584831e-66
0.25,0.1,0.4,0.05,0.15,0.05,0.250558095143293,6.678586353858764e-66
0.3,0.1,0.25,0.05,0.05,0.25,0.25052800892050753,6.927503322717231e-66
0.3,0.05,0.25,0.05,0.1,0.25,0.2504806353289244,7.338311522297923e-66
0.3,0.05,0.3,0.05,0.15,0.15,0.2504473985682764,7.640931079593769e-66
0.3,0.05,0.4,0.05,0.1,0.1,0.2504162298458734,7.936006987139287e-66
0.2,0.2,0.4,0.05,0.1,0.05,0.25040173297019075,8.077091237379024e-66
0.2,0.05,0.4,0.05,0.1,0.2,0.25040100523619985,8.084239077852332e-66
0.35,0.05,0.3,0.05,0.15,0.1,0.25036693318689723,8.426046820253368e-66
0.3,0.1,0.35,0.05,0.1,0.1,0.25022358387802307,1.002904784330695e-65
0.25,0.05,0.3,0.05,0.05,0.3,0.25014644260112145,1.1013916837565885e-65
0.2,0.05,0.4,0.05,0.15,0.15,0.25013272162830086,1.1198925586221255e-65
0.4,0.05,0.2,0.05,0.05,0.25,0.250084114794403,1.1879587575218906e-65
0.35,0.05,0.35,0.1,0.05,0.1,0.25005589217698826,1.229355396915118e-65
0.3,0.1,0.3,0.05,0.1,0.15,0.2500469043729749,1.2428379608000004e-65
0.4,0.05,0.3,0.1,0.05,0.1,0.249932052004617,1.4286670204154263e-65
0.2,0.05,0.5,0.1,0.1,0.05,0.2498420221226316,1.593479552576864e-65
0.45,0.1,0.25,0.05,0.1,0.05,0.24968368195853619,1.9305979891796015e-65
0.25,0.05,0.35,0.1,0.1,0.15,0.24967026620737348,1.9622337940448728e-65
0.4,0.05,0.2,0.05,0.1,0.2,0.24966875413160827,1.9658316630398103e-65
0.3,0.05,0.3,0.1,0.05,0.2,0.24962813161848849,2.064988933455062e-65
0.25,0.05,0.4,0.15,0.05,0.1,0.2494856584202432,2.453813638500816e-65
0.2,0.1,0.35,0.05,0.1,0.2,0.2494494021223733,2.5638957476463805e-65
0.2,0.05,0.4,0.1,0.15,0.1,0.2494459788020195,2.5745405225945616e-65
0.2,0.1,0.4,0.15,0.1,0.05,0.24931590330430672,3.0133500182480305e-65
0.45,0.05,0.25,0.1,0.05,0.1,0.24930154681598202,3.066132535178532e-65
0.45,0.05,0.25,0.05,0.15,0.05,0.24922893573869626,3.3475373135703913e-65
0.35,0.05,0.3,0.1,0.1,0.1,0.24919381748797728,3.492727008458903e-65
0.3,0.1,0.3,0.05,0.15,0.1,0.2490905875371533,3.956851112292549e-65
0.25,0.05,0.3,0.05,0.1,0.25,0.24899136157516136,4.460764354831911e-65
0.45,0.05,0.2,0.05,0.1,0.15,0.2489900609831881,4.4677770317432215e-65
0.3,0.05,0.35,0.1,0.1,0.1,0.24897779134431003,4.5344767660606255e-65
0.2,0.05,0.35,0.1,0.05,0.25,0.24886542407441983,5.193374443279077e-65
0.35,0.15,0.3,0.05,0.1,0.05,0.24880190036511163,5.607206711547111e-65
0.45,0.15,0.25,0.05,0.05,0.05,0.24870721930605516,6.285753621222981e-65
0.2,0.05,0.45,0.05,0.2,0.05,0.24860300078105807,7.127562045637138e-65
0.55,0.05,0.15,0.05,0.05,0.15,0.24850462198986453,8.024953688301774e-65
0.25,0.1,0.35,0.05,0.1,0.15,0.24848029887954082,8.263655532795918e-65
0.2,0.05,0.35,0.05,0.1,0.25,0.24836219683538244,9.52712407385666e-65
0.25,0.05,0.45,0.05,0.15,0.05,0.24833158187402837,9.88493508652325e-65
0.35,0.1,0.3,0.1,0.05,0.1,0.2482976397941172,1.0297299670626414e-64
0.25,0.05,0.35,0.05,0.1,0.2,0.2482958919572158,1.0318992205479358e-64
0.35,0.05,0.25,0.05,0.15,0.15,0.24829419201079234,1.0340134038949068e-64
0.2,0.15,0.4,0.05,0.15,0.05,0.24829101411739818,1.0379772556770902e-64
0.25,0.05,0.25,0.05,0.1,0.3,0.24827927061325658,1.0527569496506327e-64
0.4,0.1,0.3,0.1,0.05,0.05,0.24822138606635624,1.1287277715828777e-64
0.4,0.05,0.25,0.1,0.05,0.15,0.24817797641461792,1.18926287224264e-64
0.25,0.05,0.4,0.1,0.15,0.05,0.24813172771376396,1.2573189771777695e-64
0.25,0.1,0.3,0.05,0.1,0.2,0.24805654218258105,1.3763327192192374e-64
