사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1068101174,해밀톤관광(주),2020,성숙기,0,0.0,100.0,47.19,67.64,18.24,49.1,25.6,매우 안정
1068101174,해밀톤관광(주),2021,성숙기,0,0.0,30.53,100.0,83.58,18.02,45.52,27.9,매우 안정
1068101174,해밀톤관광(주),2022,조정기,1,33.8,6.24,90.96,46.81,5.46,41.12,23.6,매우 안정
1068103395,주식회사주영이십일,2015,성숙기,0,0.0,23.98,0.0,45.96,28.2,52.04,21.6,매우 안정
1068103395,주식회사주영이십일,2016,성숙기,0,0.0,14.93,23.03,49.51,82.16,77.31,54.6,위험
1068103395,주식회사주영이십일,2017,성장기,0,8.9,33.0,21.26,52.01,58.52,32.04,41.9,중립
1068103395,주식회사주영이십일,2018,조정기,1,47.5,26.79,10.71,60.78,71.53,57.79,57.2,위험
1068108653,주식회사크라운관광호텔,2015,도입기,0,100.0,23.98,0.0,48.25,45.38,33.14,50.2,위험
1068108653,주식회사크라운관광호텔,2016,조정기,0,77.0,14.93,23.03,48.68,24.26,33.31,35.9,안정
1068108653,주식회사크라운관광호텔,2021,쇠퇴기,0,30.7,30.53,100.0,79.77,44.65,46.43,48.5,중립
1068108653,주식회사크라운관광호텔,2022,성숙기,0,0.0,6.24,90.96,21.29,74.17,64.88,54.5,위험
1068108653,주식회사크라운관광호텔,2023,쇠퇴기,0,56.5,0.0,93.02,61.95,62.51,36.15,59.9,위험
1068108653,주식회사크라운관광호텔,2024,조정기,0,31.2,11.1,88.96,62.88,53.4,31.52,49.8,중립
1068118879,(주)호텔캐피탈,2019,쇠퇴기,0,51.6,25.63,35.62,28.19,50.08,50.86,46.7,중립
1068118879,(주)호텔캐피탈,2020,성장기,0,35.5,100.0,47.19,85.4,3.58,3.98,23.3,매우 안정
1068118879,(주)호텔캐피탈,2021,도입기,1,100.0,30.53,100.0,77.03,91.38,99.55,90.6,매우 위험
1068705191,주식회사테이스터스,2020,성장기,0,35.5,100.0,47.19,68.42,1.54,37.23,22.9,매우 안정
1068705191,주식회사테이스터스,2021,성숙기,0,0.0,30.53,100.0,79.77,12.63,53.09,25.1,매우 안정
1068705191,주식회사테이스터스,2022,성장기,0,18.5,6.24,90.96,47.52,6.56,44.75,21.3,매우 안정
1068705191,주식회사테이스터스,2023,쇠퇴기,0,56.5,0.0,93.02,69.03,77.25,83.41,70.7,매우 위험
1068710146,주식회사엘르인,2015,성숙기,0,0.0,23.98,0.0,,16.45,44.69,,매우 안정
1068710146,주식회사엘르인,2016,성장기,0,24.9,14.93,23.03,48.68,5.24,39.11,15.3,매우 안정
1068710146,주식회사엘르인,2017,조정기,0,36.3,33.0,21.26,51.88,60.58,76.78,50.8,위험
1068710146,주식회사엘르인,2018,쇠퇴기,0,27.8,26.79,10.71,57.69,76.56,59.76,56.0,위험
1068710146,주식회사엘르인,2019,도입기,1,100.0,25.63,35.62,55.69,94.03,61.71,82.4,매우 위험
1078119643,세마앤드남경주식회사,2015,성숙기,0,0.0,23.98,0.0,48.67,2.52,34.25,6.7,매우 안정
1078119643,세마앤드남경주식회사,2016,성숙기,0,0.0,14.93,23.03,49.66,2.79,45.83,9.4,매우 안정
1078119643,세마앤드남경주식회사,2017,성숙기,0,0.0,33.0,21.26,52.1,2.95,45.09,10.3,매우 안정
1078119643,세마앤드남경주식회사,2018,도입기,0,100.0,26.79,10.71,60.47,9.47,52.41,33.3,안정
1078119643,세마앤드남경주식회사,2019,성장기,0,26.7,25.63,35.62,64.36,9.74,51.01,21.3,매우 안정
1078119643,세마앤드남경주식회사,2020,도입기,0,100.0,100.0,47.19,67.37,5.51,34.29,37.8,안정
1078119643,세마앤드남경주식회사,2021,쇠퇴기,0,30.7,30.53,100.0,81.95,47.12,71.44,51.3,위험
1078119643,세마앤드남경주식회사,2022,도입기,1,100.0,6.24,90.96,39.99,71.67,62.09,73.9,매우 위험
1078176324,(주)아워홈,2015,성숙기,0,0.0,23.98,0.0,51.8,0.24,33.06,5.6,매우 안정
1078176324,(주)아워홈,2016,성숙기,0,0.0,14.93,23.03,50.52,0.35,45.74,8.1,매우 안정
1078176324,(주)아워홈,2017,성숙기,0,0.0,33.0,21.26,53.24,0.18,44.89,8.8,매우 안정
1078176324,(주)아워홈,2018,성장기,0,13.5,26.79,10.71,62.76,0.27,48.18,10.8,매우 안정
1078176324,(주)아워홈,2019,성장기,0,26.7,25.63,35.62,57.07,0.36,50.9,15.8,매우 안정
1078176324,(주)아워홈,2020,성장기,0,35.5,100.0,47.19,68.47,24.6,54.64,36.5,안정
1078176324,(주)아워홈,2021,성숙기,0,0.0,30.53,100.0,79.85,0.82,30.95,17.5,매우 안정
1078176324,(주)아워홈,2022,조정기,0,33.8,6.24,90.96,47.7,2.2,48.9,22.2,매우 안정
1078176324,(주)아워홈,2023,성숙기,0,0.0,0.0,93.02,64.53,0.44,40.57,14.8,매우 안정
1078176324,(주)아워홈,2024,성숙기,0,0.0,11.1,88.96,55.75,1.02,36.56,14.6,매우 안정
1078694652,주식회사에이비디에셋,2015,조정기,1,76.2,23.98,0.0,46.61,77.65,52.5,64.1,매우 위험
1078754832,주식회사부자되세요,2015,성숙기,0,0.0,23.98,0.0,48.25,0.3,33.14,5.4,매우 안정
1078754832,주식회사부자되세요,2016,성숙기,0,0.0,14.93,23.03,48.68,0.7,45.91,8.2,매우 안정
1078754832,주식회사부자되세요,2017,성숙기,0,0.0,33.0,21.26,51.88,1.18,45.26,9.3,매우 안정
1078754832,주식회사부자되세요,2018,성숙기,0,0.0,26.79,10.71,54.88,0.4,47.64,7.8,매우 안정
1078754832,주식회사부자되세요,2019,성숙기,0,0.0,25.63,35.62,53.8,0.66,51.01,10.4,매우 안정
1078754832,주식회사부자되세요,2020,성숙기,0,0.0,100.0,47.19,67.01,0.35,37.11,15.1,매우 안정
1078754832,주식회사부자되세요,2021,성숙기,0,0.0,30.53,100.0,79.14,0.63,46.58,18.2,매우 안정
1078754832,주식회사부자되세요,2022,성숙기,0,0.0,6.24,90.96,45.64,0.28,47.92,14.2,매우 안정
1078754832,주식회사부자되세요,2023,성숙기,0,0.0,0.0,93.02,62.88,0.56,41.74,14.8,매우 안정
1078754832,주식회사부자되세요,2024,성숙기,0,0.0,11.1,88.96,54.7,0.51,36.08,14.3,매우 안정
1078780285,주식회사씨에스프리미어,2015,도입기,0,100.0,23.98,0.0,48.25,20.45,45.81,37.1,안정
1078780285,주식회사씨에스프리미어,2016,도입기,1,100.0,14.93,23.03,48.68,66.64,72.76,65.8,매우 위험
1078793489,파크호텔주식회사,2015,도입기,0,100.0,23.98,0.0,48.25,64.5,78.49,63.0,매우 위험
1078793489,파크호텔주식회사,2016,도입기,0,100.0,14.93,23.03,48.68,23.49,21.66,39.5,안정
1078793489,파크호텔주식회사,2017,도입기,0,100.0,33.0,21.26,52.38,33.07,50.66,47.1,중립
1078793489,파크호텔주식회사,2018,도입기,0,100.0,26.79,10.71,61.27,63.45,68.52,63.8,매우 위험
1078793489,파크호텔주식회사,2019,도입기,0,100.0,25.63,35.62,,75.36,58.24,,매우 안정
