변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,비유동비율,도입기 vs 성장기,6761.4001,3055.0925,3706.3076,10.3025,0.0166,*
기본 재무비율,비유동비율,도입기 vs 성숙기,6761.4001,3569.3037,3192.0964,10.9112,0.0126,*
기본 재무비율,비유동비율,도입기 vs 쇠퇴기,6761.4001,5748.3606,1013.0395,0.5351,0.9111,n.s.
기본 재무비율,비유동비율,성장기 vs 성숙기,3055.0925,3569.3037,-514.2112,0.2071,0.9764,n.s.
기본 재무비율,비유동비율,성장기 vs 쇠퇴기,3055.0925,5748.3606,-2693.2681,3.2087,0.3612,n.s.
기본 재무비율,비유동비율,성숙기 vs 쇠퇴기,3569.3037,5748.3606,-2179.0569,2.5512,0.4666,n.s.
기본 재무비율,비유동장기적합률,도입기 vs 성장기,926.207,436.5528,489.6541,9.0914,0.0287,*
기본 재무비율,비유동장기적합률,도입기 vs 성숙기,926.207,537.0497,389.1573,8.199,0.0428,*
기본 재무비율,비유동장기적합률,도입기 vs 쇠퇴기,926.207,637.8431,288.3638,2.1919,0.5339,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 성숙기,436.5528,537.0497,-100.4968,0.4,0.9402,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 쇠퇴기,436.5528,637.8431,-201.2903,0.9062,0.8239,n.s.
기본 재무비율,비유동장기적합률,성숙기 vs 쇠퇴기,537.0497,637.8431,-100.7934,0.276,0.9645,n.s.
기본 재무비율,유형자산비율,도입기 vs 성장기,75.1223,74.8612,0.2611,0.0055,0.9999,n.s.
기본 재무비율,유형자산비율,도입기 vs 성숙기,75.1223,61.4583,13.664,21.6619,0.0001,***
기본 재무비율,유형자산비율,도입기 vs 쇠퇴기,75.1223,45.1804,29.9419,50.6448,0.0,***
기본 재무비율,유형자산비율,성장기 vs 성숙기,74.8612,61.4583,13.4029,15.2473,0.0017,**
기본 재무비율,유형자산비율,성장기 vs 쇠퇴기,74.8612,45.1804,29.6808,42.2221,0.0,***
기본 재무비율,유형자산비율,성숙기 vs 쇠퇴기,61.4583,45.1804,16.2779,15.4252,0.0016,**
기본 재무비율,ROA,도입기 vs 성장기,-5.8742,-1.5086,-4.3656,13.4992,0.0039,**
기본 재무비율,ROA,도입기 vs 성숙기,-5.8742,1.401,-7.2752,53.5248,0.0,***
기본 재무비율,ROA,도입기 vs 쇠퇴기,-5.8742,-3.7917,-2.0825,2.1354,0.5451,n.s.
기본 재무비율,ROA,성장기 vs 성숙기,-1.5086,1.401,-2.9095,6.2627,0.1005,n.s.
기본 재무비율,ROA,성장기 vs 쇠퇴기,-1.5086,-3.7917,2.2832,2.1776,0.5367,n.s.
기본 재무비율,ROA,성숙기 vs 쇠퇴기,1.401,-3.7917,5.1927,13.6819,0.0036,**
기본 재무비율,ROE,도입기 vs 성장기,44.3344,15.3939,28.9404,6.7675,0.0806,n.s.
기본 재무비율,ROE,도입기 vs 성숙기,44.3344,31.6465,12.6879,1.8572,0.6028,n.s.
기본 재무비율,ROE,도입기 vs 쇠퇴기,44.3344,45.9633,-1.6289,0.0149,0.9995,n.s.
기본 재무비율,ROE,성장기 vs 성숙기,15.3939,31.6465,-16.2525,2.2293,0.5266,n.s.
기본 재무비율,ROE,성장기 vs 쇠퇴기,15.3939,45.9633,-30.5693,4.4534,0.2174,n.s.
기본 재무비율,ROE,성숙기 vs 쇠퇴기,31.6465,45.9633,-14.3168,1.1865,0.7563,n.s.
기본 재무비율,ROIC,도입기 vs 성장기,-7.7625,-0.4264,-7.3361,10.7311,0.0137,*
기본 재무비율,ROIC,도입기 vs 성숙기,-7.7625,0.2386,-8.0011,18.2253,0.0004,***
기본 재무비율,ROIC,도입기 vs 쇠퇴기,-7.7625,-11.4646,3.7021,1.8997,0.5937,n.s.
기본 재무비율,ROIC,성장기 vs 성숙기,-0.4264,0.2386,-0.665,0.0921,0.9928,n.s.
기본 재무비율,ROIC,성장기 vs 쇠퇴기,-0.4264,-11.4646,11.0382,14.3289,0.0026,**
기본 재무비율,ROIC,성숙기 vs 쇠퇴기,0.2386,-11.4646,11.7032,19.5647,0.0002,***
기본 재무비율,총자본영업이익률,도입기 vs 성장기,-3.5381,0.614,-4.152,27.0935,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성숙기,-3.5381,2.6655,-6.2036,86.3543,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 쇠퇴기,-3.5381,-4.4868,0.9488,0.9835,0.8053,n.s.
기본 재무비율,총자본영업이익률,성장기 vs 성숙기,0.614,2.6655,-2.0515,6.9089,0.0758,n.s.
기본 재무비율,총자본영업이익률,성장기 vs 쇠퇴기,0.614,-4.4868,5.1008,24.1172,0.0,***
기본 재무비율,총자본영업이익률,성숙기 vs 쇠퇴기,2.6655,-4.4868,7.1524,57.5958,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성장기,52.3783,65.4537,-13.0754,8.4672,0.038,*
기본 재무비율,매출총이익률,도입기 vs 성숙기,52.3783,64.4304,-12.0521,10.2711,0.0169,*
기본 재무비율,매출총이익률,도입기 vs 쇠퇴기,52.3783,50.1895,2.1888,0.1649,0.983,n.s.
기본 재무비율,매출총이익률,성장기 vs 성숙기,65.4537,64.4304,1.0233,0.0542,0.9967,n.s.
기본 재무비율,매출총이익률,성장기 vs 쇠퇴기,65.4537,50.1895,15.2642,6.8059,0.0793,n.s.
기본 재무비율,매출총이익률,성숙기 vs 쇠퇴기,64.4304,50.1895,14.2409,7.1954,0.0668,n.s.
기본 재무비율,영업이익률,도입기 vs 성장기,-270.5438,-4.4202,-266.1236,21.742,0.0001,***
기본 재무비율,영업이익률,도입기 vs 성숙기,-270.5438,-5.2059,-265.3379,30.8595,0.0,***
기본 재무비율,영업이익률,도입기 vs 쇠퇴기,-270.5438,-334.9238,64.38,0.8846,0.8291,n.s.
기본 재무비율,영업이익률,성장기 vs 성숙기,-4.4202,-5.2059,0.7857,0.0002,1.0,n.s.
기본 재무비율,영업이익률,성장기 vs 쇠퇴기,-4.4202,-334.9238,330.5036,19.7784,0.0002,***
기본 재무비율,영업이익률,성숙기 vs 쇠퇴기,-5.2059,-334.9238,329.718,23.9095,0.0,***
기본 재무비율,순이익률,도입기 vs 성장기,-327.8832,-10.5762,-317.307,21.3358,0.0001,***
기본 재무비율,순이익률,도입기 vs 성숙기,-327.8832,-14.0911,-313.7921,29.7915,0.0,***
기본 재무비율,순이익률,도입기 vs 쇠퇴기,-327.8832,-404.9758,77.0926,0.8755,0.8313,n.s.
기본 재무비율,순이익률,성장기 vs 성숙기,-10.5762,-14.0911,3.5149,0.0027,1.0,n.s.
기본 재무비율,순이익률,성장기 vs 쇠퇴기,-10.5762,-404.9758,394.3996,19.4415,0.0002,***
기본 재무비율,순이익률,성숙기 vs 쇠퇴기,-14.0911,-404.9758,390.8847,23.1953,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 성장기,-191.0508,10.9436,-201.9945,21.5573,0.0001,***
기본 재무비율,EBITDA마진,도입기 vs 성숙기,-191.0508,14.9499,-206.0007,32.0119,0.0,***
기본 재무비율,EBITDA마진,도입기 vs 쇠퇴기,-191.0508,-248.2635,57.2126,1.2022,0.7525,n.s.
기본 재무비율,EBITDA마진,성장기 vs 성숙기,10.9436,14.9499,-4.0062,0.0089,0.9998,n.s.
기본 재무비율,EBITDA마진,성장기 vs 쇠퇴기,10.9436,-248.2635,259.2071,20.9371,0.0001,***
기본 재무비율,EBITDA마진,성숙기 vs 쇠퇴기,14.9499,-248.2635,263.2133,26.2231,0.0,***
기본 재무비율,현금ROA,도입기 vs 성장기,-3.0583,2.6012,-5.6596,37.8943,0.0,***
기본 재무비율,현금ROA,도입기 vs 성숙기,-3.0583,6.7041,-9.7624,160.9837,0.0,***
기본 재무비율,현금ROA,도입기 vs 쇠퇴기,-3.0583,-8.1166,5.0583,21.043,0.0001,***
기본 재무비율,현금ROA,성장기 vs 성숙기,2.6012,6.7041,-4.1029,20.8015,0.0001,***
기본 재무비율,현금ROA,성장기 vs 쇠퇴기,2.6012,-8.1166,10.7178,80.1546,0.0,***
기본 재무비율,현금ROA,성숙기 vs 쇠퇴기,6.7041,-8.1166,14.8207,186.1651,0.0,***
기본 재무비율,현금ROE,도입기 vs 성장기,65.9682,49.3885,16.5797,1.1442,0.7664,n.s.
기본 재무비율,현금ROE,도입기 vs 성숙기,65.9682,80.7635,-14.7953,1.3009,0.729,n.s.
기본 재무비율,현금ROE,도입기 vs 쇠퇴기,65.9682,32.7495,33.2187,3.193,0.3635,n.s.
기본 재무비율,현금ROE,성장기 vs 성숙기,49.3885,80.7635,-31.375,4.2797,0.2337,n.s.
기본 재무비율,현금ROE,성장기 vs 쇠퇴기,49.3885,32.7495,16.639,0.6797,0.8779,n.s.
기본 재무비율,현금ROE,성숙기 vs 쇠퇴기,80.7635,32.7495,48.014,6.8743,0.0769,n.s.
기본 재무비율,매출원가율,도입기 vs 성장기,47.3703,34.5438,12.8265,8.2926,0.0411,*
기본 재무비율,매출원가율,도입기 vs 성숙기,47.3703,35.5294,11.841,10.0904,0.0183,*
기본 재무비율,매출원가율,도입기 vs 쇠퇴기,47.3703,49.4181,-2.0477,0.1469,0.9857,n.s.
기본 재무비율,매출원가율,성장기 vs 성숙기,34.5438,35.5294,-0.9856,0.0511,0.997,n.s.
기본 재무비율,매출원가율,성장기 vs 쇠퇴기,34.5438,49.4181,-14.8743,6.5774,0.0876,n.s.
기본 재무비율,매출원가율,성숙기 vs 쇠퇴기,35.5294,49.4181,-13.8887,6.9655,0.0739,n.s.
기본 재무비율,판관비율,도입기 vs 성장기,256.1768,69.5558,186.621,28.0644,0.0,***
기본 재무비율,판관비율,도입기 vs 성숙기,256.1768,68.4724,187.7043,40.5361,0.0,***
기본 재무비율,판관비율,도입기 vs 쇠퇴기,256.1768,309.9023,-53.7255,1.6169,0.6557,n.s.
기본 재무비율,판관비율,성장기 vs 성숙기,69.5558,68.4724,1.0834,0.001,1.0,n.s.
기본 재무비율,판관비율,성장기 vs 쇠퇴기,69.5558,309.9023,-240.3465,27.4547,0.0,***
기본 재무비율,판관비율,성숙기 vs 쇠퇴기,68.4724,309.9023,-241.4298,33.6488,0.0,***
기본 재무비율,감가상각비율,도입기 vs 성장기,75.6465,15.3805,60.2659,19.9634,0.0002,***
기본 재무비율,감가상각비율,도입기 vs 성숙기,75.6465,19.1931,56.4534,25.011,0.0,***
기본 재무비율,감가상각비율,도입기 vs 쇠퇴기,75.6465,74.6833,0.9631,0.0035,0.9999,n.s.
기본 재무비율,감가상각비율,성장기 vs 성숙기,15.3805,19.1931,-3.8125,0.0834,0.9937,n.s.
기본 재무비율,감가상각비율,성장기 vs 쇠퇴기,15.3805,74.6833,-59.3028,11.4011,0.0101,*
기본 재무비율,감가상각비율,성숙기 vs 쇠퇴기,19.1931,74.6833,-55.4903,12.1249,0.0073,**
기본 재무비율,총자산회전율,도입기 vs 성장기,0.3074,0.5581,-0.2507,8.2489,0.0419,*
기본 재무비율,총자산회전율,도입기 vs 성숙기,0.3074,0.7633,-0.4559,38.9421,0.0,***
기본 재무비율,총자산회전율,도입기 vs 쇠퇴기,0.3074,0.4243,-0.1169,1.2458,0.7421,n.s.
기본 재무비율,총자산회전율,성장기 vs 성숙기,0.5581,0.7633,-0.2052,5.7704,0.1243,n.s.
기본 재무비율,총자산회전율,성장기 vs 쇠퇴기,0.5581,0.4243,0.1339,1.3868,0.7087,n.s.
기본 재무비율,총자산회전율,성숙기 vs 쇠퇴기,0.7633,0.4243,0.339,10.8063,0.0132,*
기본 재무비율,유동자산회전율,도입기 vs 성장기,5.6576,6.5107,-0.8531,1.7722,0.6212,n.s.
기본 재무비율,유동자산회전율,도입기 vs 성숙기,5.6576,5.9419,-0.2843,0.2811,0.9635,n.s.
기본 재무비율,유동자산회전율,도입기 vs 쇠퇴기,5.6576,3.7286,1.929,6.2995,0.0989,n.s.
기본 재무비율,유동자산회전율,성장기 vs 성숙기,6.5107,5.9419,0.5687,0.8227,0.844,n.s.
기본 재무비율,유동자산회전율,성장기 vs 쇠퇴기,6.5107,3.7286,2.7821,11.117,0.0115,*
기본 재무비율,유동자산회전율,성숙기 vs 쇠퇴기,5.9419,3.7286,2.2133,8.5466,0.0367,*
기본 재무비율,비유동자산회전율,도입기 vs 성장기,0.6009,0.8945,-0.2937,1.1321,0.7694,n.s.
기본 재무비율,비유동자산회전율,도입기 vs 성숙기,0.6009,1.8742,-1.2733,30.3864,0.0,***
기본 재무비율,비유동자산회전율,도입기 vs 쇠퇴기,0.6009,0.9803,-0.3795,1.3139,0.7259,n.s.
