column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
차입금의존도_ratio_industry,83,732,0.528337,0.270064,0.31402,0.289075,0.5401,0.6009,distress_high,36511.0,0.0025234851810172904,0.0047079947407039,1.0,1,
총자산회전율_diff_industry,83,732,0.165127,0.21822,0.049367,0.084763,-0.185,0.4188,normal_high,25444.0,0.015196317120083557,0.023165117561102982,1.0,1,
총자산회전율_ratio_industry,83,732,0.133913,0.181886,0.027521,0.060352,-0.1835,0.419,normal_high,25459.0,0.015495343024081797,0.023477792460729997,1.0,1,
자기자본회전율_diff_industry,83,732,0.045148,0.062797,0.003375,0.016563,-0.0639,0.3568,normal_high,21678.5,1.8502030187868535e-05,6.007152658398875e-05,1.0,1,
자기자본회전율_ratio_industry,83,732,0.035837,0.050912,0.002089,0.012911,-0.067,0.3506,normal_high,21299.0,7.597861108334736e-06,2.8350228016174387e-05,1.0,1,
비유동자산회전율_diff_industry,83,732,0.154648,0.374604,0.021366,0.042195,-0.1016,0.4178,normal_high,25381.5,0.013955006729304522,0.021804698014538316,1.0,1,
비유동자산회전율_ratio_industry,83,732,0.129913,0.323426,0.013107,0.031554,-0.1009,0.4169,normal_high,25327.0,0.01293380720186578,0.020464884813078763,1.0,1,
유형자산회전율_diff_industry,83,732,0.032742,0.473324,0.000847,0.001834,-0.0671,0.429,normal_high,26066.5,0.033890870571910335,0.048693779557342436,1.0,1,
유형자산회전율_ratio_industry,83,732,0.033623,0.485601,0.000766,0.001767,-0.0673,0.4278,normal_high,25990.0,0.030820085664996402,0.04505860477338655,1.0,1,
재고자산회전율_diff_industry,83,732,0.622644,0.367858,0.077865,0.090029,0.5031,0.5607,distress_high,34063.5,0.06926507366154441,0.09462441757041586,0.0,0,FDR 비유의
재고자산회전율_ratio_industry,83,732,0.971073,0.567873,0.104838,0.127661,0.5017,0.5603,distress_high,34044.0,0.07044211478104583,0.09570939508294271,0.0,0,FDR 비유의
매출채권회전율_diff_industry,83,732,0.071455,0.094104,0.010305,0.011858,-0.1493,0.4592,ambiguous,27902.0,0.22296908017765749,0.2692863287169776,0.0,0,FDR 비유의
매출채권회전율_ratio_industry,83,732,0.06996,0.091747,0.009719,0.011519,-0.1467,0.4594,ambiguous,27914.0,0.22522025067194806,0.2702747010751525,0.0,0,FDR 비유의
매입채무회전율_diff_industry,83,732,1.583183,0.387957,0.071171,0.053365,1.2405,0.5525,distress_high,33565.0,0.11631998596484247,0.1506735569492778,0.0,0,FDR 비유의
매입채무회전율_ratio_industry,83,732,1.379826,0.33521,0.058402,0.043211,1.2409,0.5571,distress_high,33845.0,0.08679901429509275,0.113611275255357,0.0,0,FDR 비유의
총자산증가율_diff_industry,83,732,0.383385,0.42061,0.365171,0.384334,-0.2639,0.3496,normal_high,21238.0,6.890656674568181e-06,2.61009722521522e-05,1.0,1,
총자산증가율_ratio_industry,83,732,0.617776,0.626265,0.61369,0.617759,-0.2665,0.3523,normal_high,21407.0,1.015329103666666e-05,3.5751024776995285e-05,1.0,1,
유형자산증가율_diff_industry,83,732,0.328323,0.556021,0.328141,0.336264,-0.0759,0.3973,normal_high,24139.0,0.0021426384183178193,0.0041717580610320625,1.0,1,
유형자산증가율_ratio_industry,83,732,0.382957,0.427142,0.381455,0.382577,-0.0795,0.3896,normal_high,23668.0,0.0009609087813551801,0.0020532238917845727,1.0,1,
자기자본증가율_diff_industry,83,732,0.301497,0.211512,0.15778,0.168549,0.2122,0.2788,normal_high,16937.5,3.744483124780711e-11,2.600335503319938e-10,1.0,1,
자기자본증가율_ratio_industry,83,732,0.429667,0.414816,0.405601,0.406984,0.2051,0.2707,normal_high,16447.0,6.93365006247956e-12,6.233572790913293e-11,1.0,1,
매출액증가율_diff_industry,83,732,1.395031,0.11096,0.055203,0.053872,0.331,0.5511,distress_high,33481.5,0.12675255704250465,0.16085349878490438,0.0,0,FDR 비유의
매출액증가율_ratio_industry,83,732,0.855287,0.097131,0.065577,0.064287,0.3305,0.5588,distress_high,33949.5,0.07877517888388792,0.10419997206863481,0.0,0,FDR 비유의
