column,final_selected,final_VIF,stage,removed_iter,removed_VIF
순운전자본비율_diff,0,,"STEP_VIF제거 (VIF=42.95, 반복48)",48.0,42.9492
순차입금비율,0,,"STEP_VIF제거 (VIF=245.60, 반복29)",29.0,245.603
유동비율_ratio,0,,"STEP_VIF제거 (VIF=29.03, 반복52)",52.0,29.0339
금융비용대매출액_ratio_industry,1,2.1178,최종 선택,,
ROA_ratio,0,,"STEP_VIF제거 (VIF=85.01, 반복36)",36.0,85.008
총자산증가율_diff,0,,"STEP_VIF제거 (VIF=41.85, 반복49)",49.0,41.8534
영업CF_총부채_diff,0,,"STEP_VIF제거 (VIF=10.18, 반복60)",60.0,10.1763
재고자산회전율_ratio,1,5.0208,최종 선택,,
매입채무회전율_diff_industry,0,,"STEP_VIF제거 (VIF=724382716.43, 반복1)",1.0,724382716.4307
매출채권회수기간_diff,0,,"STEP_VIF제거 (VIF=80.65, 반복37)",37.0,80.65
영업이익률_ratio,0,,"STEP_VIF제거 (VIF=262.11, 반복27)",27.0,262.1118
매출액증가율,1,5.7843,최종 선택,,
ROA_diff,0,,"STEP_VIF제거 (VIF=177.80, 반복34)",34.0,177.8016
총자산증가율_diff_industry,0,,"STEP_VIF제거 (VIF=11.27, 반복58)",58.0,11.2705
매출액증가율_ratio_industry,0,,"STEP_VIF제거 (VIF=219.58, 반복30)",30.0,219.5816
유동비율,0,,"STEP_VIF제거 (VIF=1713.96, 반복15)",15.0,1713.9561
판관비율,1,3.2233,최종 선택,,
FCF_총자산_ratio,0,,"STEP_VIF제거 (VIF=299.57, 반복26)",26.0,299.5694
유형자산회전율_ratio,1,1.559,최종 선택,,
현금비율_diff,0,,"STEP_VIF제거 (VIF=65.50, 반복40)",40.0,65.5038
부채비율변화,0,,"STEP_VIF제거 (VIF=76.83, 반복38)",38.0,76.8296
총부채비율,0,,"STEP_VIF제거 (VIF=13.30, 반복56)",56.0,13.2976
자기자본회전율_ratio,0,,"STEP_VIF제거 (VIF=64.83, 반복41)",41.0,64.8297
자기자본증가율_ratio,0,,"STEP_VIF제거 (VIF=39.05, 반복50)",50.0,39.0471
장기부채비율_ratio,1,4.1879,최종 선택,,
차입금의존도_ratio_industry,1,4.1015,최종 선택,,
현금ROA_ratio,0,,"STEP_VIF제거 (VIF=62.90, 반복43)",43.0,62.9039
ROIC_diff,0,,"STEP_VIF제거 (VIF=54.43, 반복45)",45.0,54.4262
금융비용부담률_diff,0,,"STEP_VIF제거 (VIF=45.12, 반복47)",47.0,45.119
자기자본회전율,1,2.2534,최종 선택,,
FCF_총자산_diff,0,,"STEP_VIF제거 (VIF=22898.45, 반복6)",6.0,22898.4515
자기자본증가율_ratio_industry,0,,"STEP_VIF제거 (VIF=203.67, 반복32)",32.0,203.6706
부채비율변화_ratio,0,,"STEP_VIF제거 (VIF=250.37, 반복28)",28.0,250.368
순이익률_diff,0,,"STEP_VIF제거 (VIF=1039.35, 반복19)",19.0,1039.3531
자본잠식률_ratio,1,7.1489,최종 선택,,
유동비율변화_diff,0,,"STEP_VIF제거 (VIF=30.05, 반복51)",51.0,30.0545
매출액증가율_ratio,0,,"STEP_VIF제거 (VIF=52.22, 반복46)",46.0,52.2192
유형자산회전율_diff_industry,0,,"STEP_VIF제거 (VIF=35695891.14, 반복3)",3.0,35695891.1413
유동비율_ratio_industry,0,,"STEP_VIF제거 (VIF=203.95, 반복31)",31.0,203.9524
현금ROA,1,7.2346,최종 선택,,
유형자산회전율,0,,"STEP_VIF제거 (VIF=12.48, 반복57)",57.0,12.4779
순이익률_ratio,0,,"STEP_VIF제거 (VIF=530.19, 반복23)",23.0,530.186
총자산증가율_ratio,0,,"STEP_VIF제거 (VIF=67.99, 반복39)",39.0,67.9943
매출채권회수기간_ratio,1,4.3032,최종 선택,,
투자활동으로 인한 현금흐름(요약)(백만원),0,,"STEP_VIF제거 (VIF=6994.99, 반복9)",9.0,6994.99
유형자산증가율_ratio_industry,1,1.898,최종 선택,,
순운전자본회전율_diff,1,1.5641,최종 선택,,
감가상각비율_ratio,1,2.4563,최종 선택,,
종업원,1,2.2306,최종 선택,,
사내유보율_ratio_industry,1,6.1975,최종 선택,,
투자활동으로 인한 현금흐름(요약)(백만원)_diff,0,,"STEP_VIF제거 (VIF=563.59, 반복22)",22.0,563.5944
비유동자산회전율_ratio,1,2.023,최종 선택,,
장기부채의존도,1,2.5026,최종 선택,,
매입채무회전율_ratio,1,5.3744,최종 선택,,
총자산회전율_ratio_industry,1,4.296,최종 선택,,
순운전자본비율_ratio,0,,"STEP_VIF제거 (VIF=14.20, 반복54)",54.0,14.1974
현금비율_ratio_industry,1,3.1019,최종 선택,,
영업현금흐름비율_diff,0,,"STEP_VIF제거 (VIF=128.41, 반복35)",35.0,128.4111
FCF,0,,"STEP_VIF제거 (VIF=2405.66, 반복12)",12.0,2405.6634
종업원_ratio,1,1.8789,최종 선택,,
자산총계(요약)(백만원),1,1.6742,최종 선택,,
유보율_ratio,0,,"STEP_VIF제거 (VIF=14778.55, 반복8)",8.0,14778.5459
투하자본회전율_ratio,1,2.1776,최종 선택,,
투자활동으로 인한 현금흐름(요약)(백만원)_ratio,0,,"STEP_VIF제거 (VIF=3325.74, 반복11)",11.0,3325.7445
유형자산증가율_ratio,0,,"STEP_VIF제거 (VIF=195.35, 반복33)",33.0,195.347
