column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
유동비율_ratio,2458,16488,0.073085,0.085424,0.002575,0.003976,-0.0066,0.3688,normal_high,14946869.5,4.4390347043989064e-98,7.37331188188293e-98,1.0,1,
당좌비율_추정_diff,2458,16488,0.031651,0.079094,0.001695,0.004722,-0.0229,0.321,normal_high,13008212.5,6.329515411018761e-181,1.6111493773502297e-180,1.0,1,
당좌비율_추정_ratio,2458,16488,0.024501,0.069711,0.000626,0.003177,-0.0233,0.3302,normal_high,13382279.0,5.883552647081755e-163,1.3728289509857428e-162,1.0,1,
현금비율_diff,2458,16488,0.013574,0.078398,0.000476,0.003767,-0.0325,0.2949,normal_high,11952039.0,8.858187132593287e-237,3.2151938481264525e-236,1.0,1,
현금비율_ratio,2458,16488,0.014509,0.103081,0.000207,0.002245,-0.0299,0.3045,normal_high,12339651.5,2.0915893419719097e-215,6.306946323484528e-215,1.0,1,
순운전자본비율_diff,2458,16488,-1.445156,0.700481,0.651267,0.720969,-0.0999,0.3525,normal_high,14286724.5,1.977777572924015e-123,3.58930003975099e-123,1.0,1,
순운전자본비율_ratio,2458,16488,-0.687936,0.692061,0.653785,0.699133,-0.1006,0.3559,normal_high,14422348.5,5.564054794786993e-118,9.566269647177636e-118,1.0,1,
순운전자본회전율_diff,2458,16488,0.656694,0.812393,0.663718,0.666542,-0.0169,0.4484,normal_high,18170787.5,7.539792815697695e-17,1.0191719943977575e-16,1.0,1,
순운전자본회전율_ratio,2458,16488,0.045292,1.120496,0.0,0.00114,-0.0167,0.3222,normal_high,13057661.0,4.349167437436151e-205,1.1839400246353965e-204,1.0,1,
금융비용부담률_diff,2458,16488,1.539532,0.280686,0.223362,0.179107,0.7513,0.8066,distress_high,32689704.5,0.0,0.0,1.0,1,
금융비용부담률_ratio,2458,16488,1.33782,0.111267,0.044183,0.001331,0.6741,0.8046,distress_high,32607488.5,0.0,0.0,1.0,1,
비유동비율_diff,2458,16488,0.69462,0.306371,0.86155,0.011509,0.1481,0.6641,distress_high,26914298.0,1.6966602543432339e-152,3.822361032773262e-152,1.0,1,
비유동비율_ratio,2458,16488,0.717893,0.312077,0.870768,0.007526,0.1493,0.6637,distress_high,26896456.5,1.0743372125974605e-151,2.3396677074344697e-151,1.0,1,
비유동장기적합률_diff,2458,16488,1.975827,0.448832,0.093456,0.041338,0.0677,0.6641,distress_high,26912629.5,2.8209430809293515e-152,6.212413975979246e-152,1.0,1,
비유동장기적합률_ratio,2458,16488,1.697297,0.38426,0.077892,0.03301,0.0677,0.6605,distress_high,26767716.0,8.251559799333663e-146,1.6673254852261832e-145,1.0,1,
유형자산비율_diff,2458,16488,0.415016,0.365234,0.1248,0.147637,0.1463,0.5191,ambiguous,21039395.5,0.0021526129372704183,0.0024247823891092066,1.0,0,방향 불명확 (CLES 0.45~0.55)
유형자산비율_ratio,2458,16488,0.342899,0.286871,0.018626,0.044592,0.1486,0.4911,ambiguous,19904289.0,0.15313564947556554,0.15965206009154706,0.0,0,FDR 비유의
유형자산부채비율_diff,2458,16488,0.117912,0.921114,0.032523,0.046575,-0.0134,0.4803,ambiguous,19466562.0,0.001612986937219195,0.0018274302872541169,1.0,0,방향 불명확 (CLES 0.45~0.55)
유형자산부채비율_ratio,2458,16488,0.093457,0.9303,0.003666,0.018922,-0.0134,0.4555,ambiguous,18461682.0,7.990514602974201e-13,1.0511012497872104e-12,1.0,0,방향 불명확 (CLES 0.45~0.55)
