사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1068125254,장한기술(주),2023,도입기,0,14.88,82.2,98.09,48.74,0.06,42.18,2024,24.9,중립,
1068125254,장한기술(주),2024,도입기,0,30.99,97.3,100.0,45.2,0.1,55.05,2025,28.0,위험,
1068160979,주식회사태양자동문,2017,성숙기,0,25.66,8.0,7.48,54.36,0.02,20.66,2018,7.9,매우 안정,
1068160979,주식회사태양자동문,2018,성숙기,0,18.76,4.0,23.57,53.3,0.01,20.11,2019,9.3,매우 안정,
1068160979,주식회사태양자동문,2019,성숙기,0,0.0,1.7,51.56,55.09,0.04,31.94,2020,12.2,매우 안정,
1068160979,주식회사태양자동문,2020,성숙기,0,100.0,5.3,41.3,58.71,0.06,15.19,2021,20.2,안정,
1068160979,주식회사태양자동문,2021,성숙기,0,52.6,2.8,61.29,63.95,0.0,30.67,2022,19.3,매우 안정,
1068160979,주식회사태양자동문,2022,성숙기,0,24.16,0.0,95.83,51.35,0.02,27.89,2023,20.8,안정,
1068160979,주식회사태양자동문,2023,성숙기,0,14.88,0.0,98.09,50.0,0.05,42.2,2024,20.8,안정,
1068160979,주식회사태양자동문,2024,성숙기,0,30.99,0.0,100.0,46.37,0.02,55.01,2025,23.2,중립,
1068161298,유진크레베스주식회사,2015,성숙기,0,49.15,10.5,0.0,44.73,0.29,31.54,2016,9.4,매우 안정,
1068161298,유진크레베스주식회사,2016,성숙기,0,27.39,5.4,12.18,73.16,0.14,24.01,2017,9.8,매우 안정,
1068161298,유진크레베스주식회사,2017,성숙기,0,25.66,8.0,7.48,64.57,5.05,24.88,2018,11.6,매우 안정,
1068161298,유진크레베스주식회사,2018,성장기,0,18.76,0.0,23.57,60.78,0.32,16.24,2019,9.5,매우 안정,
1068161298,유진크레베스주식회사,2019,성장기,0,0.0,0.0,51.56,54.41,0.04,31.72,2020,12.1,매우 안정,
1068161298,유진크레베스주식회사,2020,도입기,0,100.0,81.8,41.3,50.36,0.55,15.61,2021,23.9,중립,
1068161298,유진크레베스주식회사,2021,도입기,0,52.6,74.5,61.29,68.86,0.46,30.66,2022,23.4,중립,
1068161298,유진크레베스주식회사,2022,성숙기,0,24.16,0.0,95.83,52.09,0.65,27.99,2023,21.2,안정,
1068161298,유진크레베스주식회사,2023,성숙기,0,14.88,0.0,98.09,50.93,4.43,44.53,2024,23.6,중립,
1068161298,유진크레베스주식회사,2024,성숙기,0,30.99,0.0,100.0,47.99,21.95,64.96,2025,36.9,매우 위험,
1068175491,한성유엘산업(주),2015,성장기,0,49.15,0.0,0.0,55.31,0.0,31.64,2016,9.3,매우 안정,
1068175491,한성유엘산업(주),2016,성장기,0,27.39,0.0,12.18,41.53,2.22,25.93,2017,9.3,매우 안정,
1068175491,한성유엘산업(주),2017,성장기,0,25.66,0.0,7.48,38.95,0.71,19.37,2018,7.0,매우 안정,
1068175491,한성유엘산업(주),2018,성장기,0,18.76,0.0,23.57,34.33,4.2,23.11,2019,10.8,매우 안정,
1068175491,한성유엘산업(주),2019,쇠퇴기,0,0.0,100.0,51.56,57.8,3.37,31.3,2020,19.2,매우 안정,
1068175491,한성유엘산업(주),2020,쇠퇴기,1,100.0,100.0,41.3,61.22,93.25,94.2,2021,84.9,매우 위험,
1078112086,삼진로푸(주),2015,성숙기,0,49.15,10.5,0.0,52.43,0.02,31.65,2016,9.7,매우 안정,
