사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018603420,주식회사솔렉스마케팅,2015,조정기,0,21.97,57.8,100.0,50.38,0.67,49.71,2016,17.0,매우 안정,
1018603420,주식회사솔렉스마케팅,2018,조정기,0,15.77,53.7,36.52,46.18,78.7,49.15,2019,67.5,위험,
1018603420,주식회사솔렉스마케팅,2019,조정기,0,27.54,49.6,88.17,63.59,7.65,8.46,2020,20.4,매우 안정,
1018603420,주식회사솔렉스마케팅,2020,쇠퇴기,0,100.0,100.0,55.89,37.34,73.11,87.64,2021,72.1,위험,
1018603420,주식회사솔렉스마케팅,2021,쇠퇴기,0,91.84,100.0,48.92,37.25,10.13,12.13,2022,23.5,안정,
1018603420,주식회사솔렉스마케팅,2022,쇠퇴기,0,24.14,100.0,35.21,38.99,3.69,49.77,2023,16.9,매우 안정,
1018603420,주식회사솔렉스마케팅,2023,쇠퇴기,0,25.47,73.7,37.45,49.05,28.87,64.73,2024,35.2,안정,
1018603420,주식회사솔렉스마케팅,2024,조정기,0,83.61,27.3,39.08,42.73,73.97,79.39,2025,67.5,위험,
1018608143,나인사건설(주),2019,쇠퇴기,0,27.54,100.0,88.17,60.47,73.08,51.39,2020,70.6,위험,
1018608143,나인사건설(주),2020,쇠퇴기,0,100.0,100.0,55.89,55.53,57.68,39.83,2021,60.7,중립,
1018608143,나인사건설(주),2021,쇠퇴기,0,91.84,100.0,48.92,45.92,45.73,41.71,2022,50.7,중립,
1018612953,(주)지오비스,2018,성장기,0,15.77,0.0,36.52,46.18,14.07,49.15,2019,19.5,매우 안정,
1018612953,(주)지오비스,2019,도입기,0,27.54,68.4,88.17,60.47,53.77,75.71,2020,56.7,중립,
1018612953,(주)지오비스,2020,도입기,0,100.0,87.9,55.89,55.53,96.04,73.71,2021,88.7,매우 위험,
1018612953,(주)지오비스,2021,도입기,0,91.84,83.9,48.92,,94.21,47.38,2022,79.5,매우 위험,
1018612953,(주)지오비스,2022,도입기,1,24.14,99.8,35.21,0.0,97.61,55.2,2023,79.0,매우 위험,
1018618980,(주)리노씨티,2015,도입기,0,21.97,47.4,100.0,50.38,93.65,52.37,2016,81.7,매우 위험,
1018618980,(주)리노씨티,2016,도입기,0,0.0,43.5,0.0,49.75,94.08,50.4,2017,75.5,위험,
1018618980,(주)리노씨티,2017,성숙기,0,5.32,14.3,11.43,,89.98,49.5,2018,67.0,위험,
1018618980,(주)리노씨티,2018,조정기,1,15.77,53.7,36.52,46.42,92.58,50.38,2019,77.3,매우 위험,
1018623483,주식회사해동이앤씨,2015,조정기,0,21.97,57.8,100.0,53.03,0.78,51.95,2016,17.4,매우 안정,
1018623483,주식회사해동이앤씨,2016,조정기,0,0.0,42.8,0.0,46.94,0.52,49.72,2017,9.7,매우 안정,
1018623483,주식회사해동이앤씨,2017,쇠퇴기,0,5.32,100.0,11.43,36.37,34.67,72.49,2018,37.4,안정,
1018623483,주식회사해동이앤씨,2018,도입기,0,15.77,55.9,36.52,42.72,40.66,52.49,2019,40.8,안정,
1018623483,주식회사해동이앤씨,2019,쇠퇴기,0,27.54,100.0,88.17,61.43,47.34,55.71,2020,52.9,중립,
1018623483,주식회사해동이앤씨,2020,조정기,0,100.0,39.1,55.89,56.34,71.72,63.3,2021,68.8,위험,
1018623483,주식회사해동이앤씨,2021,성숙기,0,91.84,5.4,48.92,47.27,84.34,55.85,2022,73.9,위험,
1018623483,주식회사해동이앤씨,2022,쇠퇴기,1,24.14,100.0,35.21,31.29,90.54,56.8,2023,77.3,매우 위험,
1018628362,인천김포고속도로(주),2015,도입기,0,21.97,47.4,100.0,50.0,75.34,51.3,2016,68.8,위험,
1018628362,인천김포고속도로(주),2016,도입기,0,0.0,43.5,0.0,50.0,74.63,49.67,2017,61.9,중립,
1018628362,인천김포고속도로(주),2017,도입기,0,5.32,45.6,11.43,40.45,86.94,59.3,2018,71.0,위험,
1018628362,인천김포고속도로(주),2018,쇠퇴기,0,15.77,100.0,36.52,46.54,94.1,52.99,2019,80.8,매우 위험,
1018628362,인천김포고속도로(주),2019,도입기,1,27.54,68.4,88.17,53.99,97.13,53.82,2020,85.3,매우 위험,
1018631566,제이영동고속도로주식회사,2015,도입기,0,21.97,47.4,100.0,50.0,77.93,53.18,2016,70.7,위험,
1018631566,제이영동고속도로주식회사,2016,도입기,0,0.0,43.5,0.0,50.0,80.79,51.79,2017,66.3,위험,
1018631566,제이영동고속도로주식회사,2017,조정기,0,5.32,50.1,11.43,,88.42,56.51,2018,68.1,위험,
1018631566,제이영동고속도로주식회사,2018,쇠퇴기,1,15.77,100.0,36.52,46.54,93.76,51.94,2019,80.5,매우 위험,
1018632060,가야철도(주),2015,조정기,1,21.97,57.8,100.0,50.5,97.1,52.53,2016,84.6,매우 위험,
1018639312,씨앤오건설주식회사,2020,성장기,0,100.0,0.0,55.89,55.53,8.17,48.75,2021,21.5,매우 안정,
1018639312,씨앤오건설주식회사,2021,성숙기,0,91.84,5.4,48.92,45.92,8.59,49.1,2022,20.4,매우 안정,
1018639312,씨앤오건설주식회사,2022,성숙기,0,24.14,0.0,35.21,32.61,40.8,71.61,2023,38.4,안정,
1018639312,씨앤오건설주식회사,2023,성숙기,0,25.47,0.0,37.45,46.21,9.0,29.29,2024,15.5,매우 안정,
1018639312,씨앤오건설주식회사,2024,성숙기,0,83.61,0.0,39.08,36.64,6.61,49.73,2025,16.9,매우 안정,
1018645250,주식회사디우이앤씨,2021,도입기,0,91.84,83.9,48.92,45.92,10.96,49.56,2022,26.0,안정,
1018645250,주식회사디우이앤씨,2022,도입기,0,24.14,99.8,35.21,32.61,92.06,99.22,2023,80.6,매우 위험,
1018645250,주식회사디우이앤씨,2023,도입기,1,25.47,100.0,37.45,44.44,94.39,50.94,2024,81.2,매우 위험,
1018652881,브릿지테크놀러지주식회사,2016,성장기,0,0.0,0.0,0.0,49.75,8.34,49.87,2017,13.3,매우 안정,
