회계년도,부실여부,컬럼,전체 행 수,이상치_행수_1%,이상치_비율_1%,이상치_행수_2%,이상치_비율_2%,이상치_행수_3%,이상치_비율_3%,이상치_행수_4%,이상치_비율_4%,이상치_행수_5%,이상치_비율_5%
2012,정상,유동비율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유동비율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,당좌비율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,당좌비율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,현금비율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,현금비율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,순운전자본대총자본_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,순운전자본대총자본_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,비유동비율_diff_industry,2175,43,1.98,65,2.99,87,4.0,108,4.97,218,10.02
2012,정상,비유동비율_ratio_industry,2175,43,1.98,65,2.99,87,4.0,108,4.97,218,10.02
2012,정상,비유동장기적합률_diff_industry,2175,44,2.02,66,3.03,132,6.07,174,8.0,218,10.02
2012,정상,비유동장기적합률_ratio_industry,2175,44,2.02,66,3.03,132,6.07,174,8.0,218,10.02
2012,정상,차입금의존도_diff_industry,2175,22,1.01,44,2.02,66,3.03,87,4.0,109,5.01
2012,정상,차입금의존도_ratio_industry,2175,22,1.01,44,2.02,66,3.03,87,4.0,109,5.01
2012,정상,총자산회전율_diff_industry,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,총자산회전율_ratio_industry,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,자기자본회전율_diff_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,자기자본회전율_ratio_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,비유동자산회전율_diff_industry,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,비유동자산회전율_ratio_industry,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,유형자산회전율_diff_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,유형자산회전율_ratio_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,재고자산회전율_diff_industry,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,재고자산회전율_ratio_industry,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매출채권회전율_diff_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매출채권회전율_ratio_industry,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매입채무회전율_diff_industry,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매입채무회전율_ratio_industry,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,총자산증가율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,총자산증가율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유형자산증가율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유형자산증가율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,자기자본증가율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,자기자본증가율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출액증가율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출액증가율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,부실,부채비율,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,총부채비율,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,장기부채비율,214,2,0.93,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,장기부채의존도,214,3,1.4,5,2.34,14,6.54,18,8.41,22,10.28
2012,부실,차입금의존도,214,3,1.4,5,2.34,14,6.54,18,8.41,22,10.28
2012,부실,순차입금비율,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,금융부채비율,214,2,0.93,2,0.93,9,4.21,11,5.14,13,6.07
2012,부실,자기자본비율,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,자본잠식률,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,유동비율,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,당좌비율_추정,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,현금비율,214,3,1.4,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,순운전자본비율,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,순운전자본회전율,214,3,1.4,5,2.34,7,3.27,9,4.21,11,5.14
2012,부실,금융비용부담률,214,6,2.8,8,3.74,10,4.67,12,5.61,22,10.28
2012,부실,비유동비율,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,비유동장기적합률,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,유형자산비율,214,3,1.4,5,2.34,7,3.27,9,4.21,22,10.28
2012,부실,유형자산부채비율,214,3,1.4,5,2.34,7,3.27,9,4.21,22,10.28
2012,부실,ROA,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,ROE,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,ROIC,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,총자본영업이익률,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,매출총이익률,214,3,1.4,3,1.4,3,1.4,12,5.61,22,10.28
2012,부실,영업이익률,214,6,2.8,8,3.74,10,4.67,12,5.61,22,10.28
2012,부실,순이익률,214,6,2.8,8,3.74,10,4.67,12,5.61,22,10.28
2012,부실,EBITDA마진,214,6,2.8,8,3.74,10,4.67,12,5.61,22,10.28
2012,부실,영업현금흐름비율,214,6,2.8,8,3.74,10,4.67,12,5.61,22,10.28
2012,부실,현금ROA,214,6,2.8,10,4.67,14,6.54,18,8.41,22,10.28
2012,부실,현금ROE,214,5,2.34,7,3.27,9,4.21,11,5.14,13,6.07
2012,부실,매출원가율,214,3,1.4,3,1.4,3,1.4,12,5.61,22,10.28
