사업자등록번호,회사명,prob_2021,prob_2022,prob_2023,prob_2024,pred_label_2021,pred_label_2022,pred_label_2023,pred_label_2024,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score
1198139278,(주)윈시스템즈,0.0022,0.0012,0.4511,0.897,0,0,1,1,-0.001,0.4499,0.4459,88.63
2208831099,(주)남서울상사,0.0104,0.0325,0.569,0.6892,0,0,1,1,0.0221,0.5365,0.1202,88.61
1108611754,(주)사과마을,0.0024,0.0056,0.0175,0.6676,0,0,0,1,0.0032,0.0119,0.6501,88.58
2048602389,에스지바이오사이언스주식회사,0.0023,0.0009,0.7312,0.9689,0,0,1,1,-0.0014,0.7303,0.2377,88.51
1208133589,신한과학(주),0.0039,0.0198,0.2021,0.6262,0,0,0,1,0.0159,0.1823,0.4241,88.48
1348179089,송현산업주식회사,0.003,0.1189,0.5756,0.6789,0,0,1,1,0.1159,0.4567,0.1033,88.48
2048605090,(주)아이꿈터,0.0021,0.0077,0.1294,0.628,0,0,0,1,0.0056,0.1217,0.4986,88.38
2158140355,메디랩코리아(주),0.0441,0.0163,0.4622,0.9751,0,0,1,1,-0.0278,0.4459,0.5129,88.37
1348122572,주식회사동림스틸,0.0005,0.0003,0.2957,0.7735,0,0,0,1,-0.0002,0.2954,0.4778,88.34
1348635261,주식회사리벤스,0.0003,0.0001,0.368,0.7795,0,0,0,1,-0.0002,0.3679,0.4115,88.33
1268199648,주식회사세일펫,0.012,0.8339,0.894,0.9041,0,1,1,1,0.8219,0.0601,0.0101,88.2
2048646427,주식회사스타일엠,0.0007,0.0065,0.0086,0.6831,0,0,0,1,0.0058,0.0021,0.6745,88.16
2458801497,주식회사이공구오,0.0014,0.0217,0.5223,0.6617,0,0,1,1,0.0203,0.5006,0.1394,88.14
1268144726,주식회사제스파,0.0004,0.2355,0.7107,0.7401,0,0,1,1,0.2351,0.4752,0.0294,88.05
1228624058,오션네트웍스(주),0.0961,0.3378,0.5204,0.6642,0,0,1,1,0.2417,0.1826,0.1438,88.0
2068672765,(주)제이컬렉션,0.0007,0.0002,0.3974,0.8193,0,0,0,1,-0.0005,0.3972,0.4219,87.98
2128611249,주식회사에이덴,0.0006,0.0012,0.0079,0.6787,0,0,0,1,0.0006,0.0067,0.6708,87.97
1248730397,(주)마트킹안녕,0.0005,0.0051,0.5604,0.6797,0,0,1,1,0.0046,0.5553,0.1193,87.94
7298100963,(주)세정글로벌,0.0019,0.0606,0.2819,0.5866,0,0,0,1,0.0587,0.2213,0.3047,87.86
1058772251,주식회사워너쉬,0.0018,0.0029,0.5628,0.688,0,0,1,1,0.0011,0.5599,0.1252,87.84
1168148574,주식회사오리엔트골프,0.002,0.0006,0.538,0.8887,0,0,1,1,-0.0014,0.5374,0.3507,87.82
6068165741,(주)대웅엠엔에프,0.0052,0.0118,0.0368,0.6101,0,0,0,1,0.0066,0.025,0.5733,87.8
6028105116,(주)엠티오,0.0007,0.0811,0.2449,0.5804,0,0,0,1,0.0804,0.1638,0.3355,87.79
1168130055,(주)상기코퍼레이션,0.0016,0.0012,0.014,0.8321,0,0,0,1,-0.0004,0.0128,0.8181,87.79
1378117156,(주)동우종합목재,0.0033,0.0032,0.6007,0.7704,0,0,1,1,-0.0001,0.5975,0.1697,87.73
1018617910,(주)케이옥션,0.0043,0.0021,0.6089,0.9179,0,0,1,1,-0.0022,0.6068,0.309,87.71
1218156800,우리에스티(주),0.002,0.0024,0.02,0.65,0,0,0,1,0.0004,0.0176,0.63,87.63
1268124754,(주)보담,0.0006,0.0001,0.188,0.7826,0,0,0,1,-0.0005,0.1879,0.5946,87.63
3208100733,바이오스마트약품(주),0.0087,0.0075,0.6679,0.9061,0,0,1,1,-0.0012,0.6604,0.2382,87.61
3068104335,오성철강주식회사,0.0008,0.0014,0.0776,0.627,0,0,0,1,0.0006,0.0762,0.5494,87.61
6358700113,주식회사씨티라이프,0.0015,0.0325,0.6973,0.7253,0,0,1,1,0.031,0.6648,0.028,87.6
3058146744,주식회사장학문구사,0.0048,0.4544,0.7172,0.7423,0,1,1,1,0.4496,0.2628,0.0251,87.5
1058634546,(주)엘텍파마켐,0.0005,0.3597,0.6569,0.6999,0,0,1,1,0.3592,0.2972,0.043,87.45
1198108630,태신상사(주),0.0013,0.0051,0.0445,0.5937,0,0,0,1,0.0038,0.0394,0.5492,87.44
1308702047,주식회사피디케이이엔티,0.0027,0.0008,0.4079,0.8677,0,0,0,1,-0.0019,0.4071,0.4598,87.36
4038117937,휴모스트녹원주식회사,0.0018,0.1525,0.3506,0.5799,0,0,0,1,0.1507,0.1981,0.2293,87.32
1388145131,주식회사제이알디,0.1904,0.2671,0.426,0.6281,0,0,0,1,0.0767,0.1589,0.2021,87.28
2018166943,(주)스타일리더,0.0002,0.0001,0.038,0.6948,0,0,0,1,-0.0001,0.0379,0.6568,87.27
1308668192,준스틸주식회사,0.0005,0.0019,0.3001,0.6067,0,0,0,1,0.0014,0.2982,0.3066,87.26
5048106204,한성철강주식회사,0.0004,0.0003,0.0043,0.745,0,0,0,1,-0.0001,0.004,0.7407,87.18
1318608294,주식회사여주농산,0.0025,0.0074,0.7126,0.739,0,0,1,1,0.0049,0.7052,0.0264,87.18
6068197938,비케이에너지(주),0.0173,0.1858,0.2723,0.5719,0,0,0,1,0.1685,0.0865,0.2996,87.16
2118613230,선인자동차(주),0.0009,0.001,0.3153,0.6436,0,0,0,1,0.0001,0.3143,0.3283,87.14
1048618747,(주)신세계엘앤비,0.0013,0.0002,0.7066,0.8864,0,0,1,1,-0.0011,0.7064,0.1798,87.05
1408109685,경기종합철강(주),0.0013,0.0235,0.4997,0.6163,0,0,1,1,0.0222,0.4762,0.1166,86.94
6128147748,(주)서울에너지,0.0048,0.0177,0.0572,0.5598,0,0,0,1,0.0129,0.0395,0.5026,86.92
1248666923,주식회사무림,0.0041,0.0006,0.147,0.8575,0,0,0,1,-0.0035,0.1464,0.7105,86.91
2098120882,에이스메디칼(주),0.0008,0.0004,0.5674,0.7951,0,0,1,1,-0.0004,0.567,0.2277,86.88
1188120723,(주)대우캐리어판매,0.001,0.0021,0.1104,0.5777,0,0,0,1,0.0011,0.1083,0.4673,86.85
5408700718,(주)블루박스,0.0014,0.0033,0.3927,0.6047,0,0,0,1,0.0019,0.3894,0.212,86.85
1138669177,주식회사더유제약,0.0001,0.0002,0.0122,0.6461,0,0,0,1,0.0001,0.012,0.6339,86.84
2148688287,(주)지엠파트너,0.0012,0.0672,0.8061,0.8083,0,0,1,1,0.066,0.7389,0.0022,86.8
1348641502,성환유통(주),0.0027,0.001,0.8434,0.9492,0,0,1,1,-0.0017,0.8424,0.1058,86.77
2148744461,더부에스텍주식회사,0.0014,0.1134,0.4576,0.5808,0,0,1,1,0.112,0.3442,0.1232,86.73
2118837444,주식회사무신사트레이딩,0.0023,0.0005,0.4522,0.8483,0,0,1,1,-0.0018,0.4517,0.3961,86.7
2148607571,주식회사하이리빙,0.0009,0.0006,0.0297,0.737,0,0,0,1,-0.0003,0.0291,0.7073,86.68
6848101937,주식회사어치브컬렉션,0.0012,0.0195,0.3218,0.554,0,0,0,1,0.0183,0.3023,0.2322,86.58
1178136329,주식회사노마드,0.0002,0.0003,0.0029,0.6674,0,0,0,1,0.0001,0.0026,0.6645,86.53
3388600272,선진알앤디(주),0.001,0.0031,0.0372,0.561,0,0,0,1,0.0021,0.0341,0.5238,86.52
6068161333,주식회사덕인,0.0009,0.0004,0.542,0.7834,0,0,1,1,-0.0005,0.5416,0.2414,86.51
3048100556,대성석유주식회사,0.0015,0.0008,0.0422,0.7796,0,0,0,1,-0.0007,0.0414,0.7374,86.51
2158678351,(주)더블유피지코리아,0.0097,0.0037,0.6245,0.8906,0,0,1,1,-0.006,0.6208,0.2661,86.51
2188106865,(주)온타이드,0.4896,0.0039,0.7033,0.957,1,0,1,1,-0.4857,0.6994,0.2537,86.48
6078189106,주식회사진보종합상사,0.006,0.3279,0.5638,0.6322,0,0,1,1,0.3219,0.2359,0.0684,86.45
2208821117,(주)아르케인터내셔날,0.0001,0.1082,0.4837,0.5807,0,0,1,1,0.1081,0.3755,0.097,86.36
1248177798,바이오스트림테크놀러지스주식회사,0.0006,0.0002,0.429,0.7418,0,0,0,1,-0.0004,0.4288,0.3128,86.33
5148193254,(주)보화,0.0055,0.0313,0.1399,0.5132,0,0,0,1,0.0258,0.1086,0.3733,86.29
1058815349,(주)공영홈쇼핑,0.0002,0.0004,0.0015,0.6814,0,0,0,1,0.0002,0.0011,0.6799,86.26
1068173135,구르메에프앤드비코리아(주),0.0002,0.0001,0.0763,0.6462,0,0,0,1,-0.0001,0.0762,0.5699,86.25
6058624266,주식회사렛츠밀란커머스,0.002,0.0018,0.7147,0.7925,0,0,1,1,-0.0002,0.7129,0.0778,86.23
2058139225,대도철강(주),0.0006,0.0069,0.5994,0.6505,0,0,1,1,0.0063,0.5925,0.0511,86.1
1058602796,(주)대전유니온약품,0.0006,0.0003,0.2203,0.6888,0,0,0,1,-0.0003,0.22,0.4685,86.09
2298111558,디케이메디칼솔루션(주),0.0003,0.0002,0.0164,0.659,0,0,0,1,-0.0001,0.0162,0.6426,86.08
2068178385,주식회사엠프로미스,0.0182,0.0763,0.5361,0.5992,0,0,1,1,0.0581,0.4598,0.0631,86.06
1338142032,경신철강주식회사,0.0006,0.0002,0.134,0.6931,0,0,0,1,-0.0004,0.1338,0.5591,85.97
1098629730,주식회사프리마모터스,0.001,0.001,0.6141,0.6926,0,0,1,1,0.0,0.6131,0.0785,85.96
1248179914,주식회사티에이치이,0.0004,0.0008,0.002,0.6541,0,0,0,1,0.0004,0.0012,0.6521,85.89
3078141274,(주)주복,0.012,0.0053,0.1865,0.8151,0,0,0,1,-0.0067,0.1812,0.6286,85.85
1238132838,마린랜드(주),0.0003,0.0001,0.5782,0.72,0,0,1,1,-0.0002,0.5781,0.1418,85.82
1348735900,주식회사몬즈컴퍼니,0.1787,0.0036,0.6208,0.8928,0,0,1,1,-0.1751,0.6172,0.272,85.81
1218100456,동양산업주식회사,0.1843,0.0807,0.3581,0.8638,0,0,0,1,-0.1036,0.2774,0.5057,85.79
2298130555,코스테크주식회사,0.0084,0.3876,0.6714,0.6842,0,0,1,1,0.3792,0.2838,0.0128,85.78
