변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,비유동비율,성장기 vs 쇠퇴기,775.7054,3044.9451,-2269.2397,43.2519,0.0,***
기본 재무비율,비유동비율,성숙기 vs 쇠퇴기,394.4134,3044.9451,-2650.5317,82.0599,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성장기,325.8611,145.6275,180.2337,60.7357,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성숙기,325.8611,100.3827,225.4784,136.3175,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 쇠퇴기,325.8611,298.878,26.9831,1.3761,0.7112,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 성숙기,145.6275,100.3827,45.2447,4.8725,0.1817,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 쇠퇴기,145.6275,298.878,-153.2505,40.7537,0.0,***
기본 재무비율,비유동장기적합률,성숙기 vs 쇠퇴기,100.3827,298.878,-198.4953,95.0789,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성장기,22.5874,32.6009,-10.0136,30.4897,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성숙기,22.5874,19.0634,3.524,5.4151,0.1441,n.s.
기본 재무비율,유형자산비율,도입기 vs 쇠퇴기,22.5874,19.3402,3.2472,3.2409,0.3562,n.s.
기본 재무비율,유형자산비율,성장기 vs 성숙기,32.6009,19.0634,13.5375,70.9411,0.0,***
기본 재무비율,유형자산비율,성장기 vs 쇠퇴기,32.6009,19.3402,13.2607,49.625,0.0,***
기본 재무비율,유형자산비율,성숙기 vs 쇠퇴기,19.0634,19.3402,-0.2768,0.0301,0.9986,n.s.
기본 재무비율,유형자산부채비율,도입기 vs 성장기,34.7322,68.2076,-33.4754,25.9531,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 성숙기,34.7322,78.4132,-43.681,63.3713,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 쇠퇴기,34.7322,50.3527,-15.6205,5.7123,0.1268,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 성숙기,68.2076,78.4132,-10.2056,3.0708,0.3811,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 쇠퇴기,68.2076,50.3527,17.8549,6.8524,0.0771,n.s.
기본 재무비율,유형자산부채비율,성숙기 vs 쇠퇴기,78.4132,50.3527,28.0605,23.5364,0.0,***
기본 재무비율,ROA,도입기 vs 성장기,-26.9245,-2.3719,-24.5527,165.1788,0.0,***
기본 재무비율,ROA,도입기 vs 성숙기,-26.9245,3.5846,-30.5091,365.7523,0.0,***
기본 재무비율,ROA,도입기 vs 쇠퇴기,-26.9245,-19.8844,-7.0401,13.7277,0.0034,**
기본 재무비율,ROA,성장기 vs 성숙기,-2.3719,3.5846,-5.9565,12.376,0.0063,**
기본 재무비율,ROA,성장기 vs 쇠퇴기,-2.3719,-19.8844,17.5125,77.9913,0.0,***
기본 재무비율,ROA,성숙기 vs 쇠퇴기,3.5846,-19.8844,23.469,194.7867,0.0,***
기본 재무비율,ROE,도입기 vs 성장기,-28.956,1.5485,-30.5045,23.0433,0.0,***
기본 재무비율,ROE,도입기 vs 성숙기,-28.956,12.4531,-41.4091,60.8944,0.0,***
기본 재무비율,ROE,도입기 vs 쇠퇴기,-28.956,-17.7837,-11.1723,3.1245,0.373,n.s.
기본 재무비율,ROE,성장기 vs 성숙기,1.5485,12.4531,-10.9046,3.7487,0.2902,n.s.
기본 재무비율,ROE,성장기 vs 쇠퇴기,1.5485,-17.7837,19.3322,8.5896,0.0355,*
