금융비용부담률,매출총이익률_diff,총자본영업이익률_diff,영업CF_총부채_diff,ROA_ratio,ROA변화,매출원가율,현금ROA,금융비용대매출액_ratio_industry,순이익률_ratio,ROE_diff,순운전자본대총자본_ratio_industry,매입채무지급기간_diff,비유동장기적합률_ratio,매출액순이익률_diff_industry,영업이익률_ratio,매출채권회전율_diff,판관비율,부채비율,유보율_diff,자기자본비율_diff_industry,총자산회전율_ratio,순이익증가율_diff,자본잠식률,부채비율변화,장기부채비율,현금ROE_ratio,유동비율변화_diff,자기자본증가율,유형자산비율_ratio,총자산증가율_diff_industry,순운전자본비율_diff,FCF_총자산_ratio,영업현금흐름비율_diff,ROIC_diff,유동자산회전율,유동비율_ratio,순운전자본회전율_diff,장기부채의존도,유형자산회전율_diff,유형자산증가율_ratio_industry,비유동비율_ratio,매출액증가율,총부채비율,비유동자산회전율_ratio,차입금의존도_ratio_industry,재고자산보유기간_ratio,감가상각비율,영업CF_유동부채_diff,투하자본회전율_ratio,업력,순차입금비율
-0.8219223,0.008571816,0.08011002,-0.19995712,-0.16283485,-0.021655716,-0.032872424,0.13226403,-0.48157683,-0.17315838,-0.0058570094,-0.09712176,-0.016032033,-0.013657385,-0.540717,-1.4873929,-0.015914422,0.021767898,-0.03241463,-0.048778348,0.016449103,0.113089934,0.020177335,-0.41297615,0.004130914,-0.06930141,-0.026812306,-0.053336076,-0.0006516733,0.061604556,-0.020932231,0.014083312,0.024149902,-0.0035062332,0.006583411,0.056266405,-0.03363073,0.016525589,0.13042685,0.10900873,-0.16923665,-0.056953575,-0.15872714,-0.03957694,0.06825056,0.0359336,-0.004674216,-0.02883224,-0.39381889,-0.008367704,0.13124423,-0.30822468
-0.75352734,-0.002913516,-2.1790884,-0.07411465,-0.3295868,0.27307218,0.0053909495,0.029405743,-0.15895246,-0.25485614,0.002629612,-0.049161747,-0.014435696,-0.04308923,-0.57957995,-2.1826499,-0.0034841127,-0.043715436,-0.03268908,-0.058495246,0.024864938,0.043895017,-0.21381997,-0.3592424,-0.017448446,0.0016631137,-0.008456429,-0.06677748,-0.114595585,-0.13145648,-0.105723254,-0.034003474,-0.024340589,-0.025340835,-0.5397068,0.0081170695,0.002184073,-0.20233928,-0.055919703,-0.07963417,0.0020958628,-0.04592177,0.15889777,-0.055023693,-0.02650468,-0.040335473,0.018058654,-0.030449206,0.066612214,-0.054920174,0.026686236,-0.14608267
-0.038078543,-0.017158614,-2.0743828,0.014911889,-0.30638716,-0.5871113,-0.0020549851,-0.07316284,-0.023960687,-0.31009582,0.00048994075,-0.059588283,-0.029083021,-0.024917314,-0.63196474,-1.9878137,0.005868406,-0.069845945,-0.03825363,-0.02479793,0.021935329,0.029432854,0.021184772,-0.33849502,-0.0038892254,0.10519885,-0.048146732,-0.10323468,0.0037382697,-0.119642116,-0.13980415,-0.020773618,-0.06293598,0.00034433743,-0.3319575,-0.015508023,-0.08558757,-0.009681031,-0.12483614,-0.05385023,0.003389418,-0.037392233,-0.18784606,-0.04621109,-0.010410227,0.043200966,0.029484427,-0.040250555,0.07117051,-0.038937278,0.01694319,-0.12086317
-0.057593383,-0.0009241875,-1.94576,-0.18407026,-0.40392688,0.31493804,0.012190797,0.040652175,-0.07838069,-0.3096514,-0.0015354676,-0.0618278,0.0024292106,-0.034990933,-0.68428534,-2.023757,0.021769596,-0.06859029,-0.032086164,-0.02175841,0.0013739914,0.067732036,-0.13242772,-0.29973006,-0.006656434,-0.11435599,-0.049702235,-0.089683056,-0.08139871,-0.15952915,0.016576143,0.038544577,0.018759836,-0.124531955,-0.4492943,0.020198256,0.0018999749,0.030663028,-0.06792298,-0.0831553,-0.047446404,-0.055277295,0.04502593,-0.084962934,0.003930188,0.011790492,0.028836783,0.03438744,-0.34002465,-0.020247145,0.05511402,-0.13060974
-0.81673956,0.029402107,-2.193981,-0.06385841,-0.38112506,0.6989112,-0.030159911,-0.19107565,-0.56142485,-0.19210349,-0.007814864,-0.057184514,-0.015408257,-0.0831113,-0.46422738,-1.9631487,-0.081254624,-0.017318444,-0.054360338,0.025510563,0.05169117,-0.021364693,-0.3620052,-0.32179517,0.032844722,-0.085223176,-0.048069254,-0.052078635,-0.09841803,0.11307393,-0.087943844,-0.04019615,-0.038598556,-0.115647964,-0.53193593,-0.058583062,-0.061488237,-0.26492715,0.043982532,0.08324421,0.017749678,-0.05585509,0.19727808,-0.051983457,-0.015148412,-0.022119641,0.004504316,0.041462526,0.06860237,-0.074533336,-0.0008244477,-0.15898179
-0.9422051,0.02696206,0.24946249,-0.01217297,-0.27909976,-0.9792728,-0.021873388,-0.15863568,-0.43703157,-0.2533155,0.0054791477,-0.05767394,-0.07467751,-0.059905905,-0.52526057,-0.7036738,-0.05473101,0.014876931,-0.038106665,-0.01255936,0.035267886,0.017036289,-0.046127494,-0.29731858,0.027157396,-0.0051058293,-0.017876795,-0.046976294,-0.063404515,0.054050412,-0.15366478,-0.030333444,-0.033317115,-0.12914455,0.09837285,-0.0011786497,-0.003059575,-0.022311414,0.015142701,0.06622782,0.025541015,-0.11897585,-0.2202589,0.034946904,0.042620167,0.0062849354,0.007687344,0.027977971,0.09743839,-0.11869258,0.1064326,-0.0387486
-0.7036576,0.040222675,0.23749615,-0.17948118,-0.19258313,0.16447482,-0.019357521,0.088188365,-0.34747967,-0.1596279,0.013918556,-0.059541993,-0.031209651,-0.036175307,-0.5367994,-1.3683314,-0.04561429,0.030520799,-0.04463572,-0.055443157,0.026892724,0.15096834,-0.009508129,-0.24506609,-0.0054007513,-0.02469867,-0.026526943,-0.029298939,-0.059750423,0.13566014,-0.04338466,0.0081779165,-0.026725678,-0.12981689,0.030858751,0.05371634,0.025138963,0.021612462,-0.12425158,0.11332806,0.059653915,-0.031546425,-0.10071408,-0.09097352,0.065060295,0.03943894,0.01844498,-0.004470811,-0.39936194,-0.04091982,0.092026286,-0.12332875
-0.7087625,0.031320143,-1.9555321,-0.22045442,-0.2475009,-0.5949678,-0.0142547125,0.044798598,-0.45104414,-0.20073327,-0.015844792,-0.0548274,-0.02461046,-0.11229363,-0.5668692,-1.9781094,-0.05303418,0.017326452,-0.066085026,-0.019034635,0.031108476,0.012363633,-0.006822597,-0.33654314,-0.0033788492,-0.10474273,-0.11049686,0.07782092,-0.098120555,-0.16919342,-0.008947766,-0.01885717,0.01681574,0.022806648,-0.47534359,-0.059335705,-0.018068645,-0.19383287,0.17662272,-0.063073955,-0.13551322,-0.072438546,-0.029025279,-0.0325621,-0.062436346,-0.050586037,0.02012088,0.042239275,-0.32628664,-0.06000313,0.08523145,-0.169253
-0.73806226,0.029122218,-1.9296297,-0.21539836,-0.3838979,-0.06765631,0.004449648,0.045620445,-0.50441307,-0.24135347,-0.011329817,-0.05865069,-0.019075321,-0.09072021,-0.6198439,-2.117997,-0.078092024,0.010510946,-0.06383735,-0.034448948,0.017145501,-0.03280495,0.021140955,-0.30634862,-0.009964712,-0.12694234,0.0020698905,0.12664118,-0.092182495,-0.13239557,-0.014739232,0.029162193,0.0029747859,-0.018535059,-0.45801988,-0.03840038,-0.026597055,0.0036637606,0.11013729,-0.06410131,0.024448223,-0.017356409,0.08728129,-0.0774481,-0.034353383,0.0129823,0.015960395,0.019718727,-0.32609913,-0.04566347,0.042538375,-0.24113923
-0.84179664,0.029487845,-2.1249015,-0.03756012,-0.27177092,-0.15424974,0.020465607,0.006901674,-0.50720525,-0.25218514,-0.013701233,-0.055328432,-0.03425839,-0.049414787,-0.605592,-1.5935118,-0.022234442,-0.018472416,-0.056651622,-0.028701402,0.0233913,-0.05695939,0.036737874,-0.3370944,-0.016741706,-0.024983965,0.025285006,-0.0061705364,-0.01497035,-0.07999274,-0.008400613,0.0066118925,-0.06328636,-0.0071637817,-0.44521645,-0.07262439,-0.05465344,0.015387093,0.12567756,-0.031111404,-0.022853108,-0.009861602,0.18078189,-0.031155784,-0.043149468,0.01906064,0.009600049,0.003337997,0.07431534,-0.06872686,0.07003778,-0.16340286
