column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
금융부채비율_diff,295,3618,2.113065,0.08736,0.065185,0.010716,1.8648,0.7312,distress_high,780375.0,4.719679295317943e-40,2.202517004481707e-39,1.0,1,
금융부채비율_ratio,295,3618,2.083753,0.0848,0.059509,0.003823,1.8006,0.7445,distress_high,794655.0,7.390522745775441e-46,4.526695181787458e-45,1.0,1,
자기자본비율_diff,295,3618,0.708271,0.892835,0.851015,0.914481,-0.6695,0.2825,normal_high,301507.0,1.5410039239062893e-35,5.393513733672013e-35,1.0,1,
자기자본비율_ratio,295,3618,0.695182,0.886979,0.842962,0.909465,-0.6709,0.2823,normal_high,301287.0,1.3293901255663085e-35,4.825193789092528e-35,1.0,1,
유보율_diff,295,3618,0.672706,0.691548,0.647664,0.654709,-0.0631,0.334,normal_high,356463.0,2.164157718939979e-21,4.2417491291223586e-21,1.0,1,
유보율_ratio,295,3618,0.050306,0.06728,0.028142,0.030931,-0.0633,0.2951,normal_high,314943.0,9.817188035521615e-32,2.37551710489165e-31,1.0,1,
자본잠식률_diff,295,3618,0.308112,0.29096,0.328167,0.320502,0.0612,0.6482,distress_high,691870.5,2.2569612511898156e-17,4.1732491059736213e-17,1.0,1,
자본잠식률_ratio,295,3618,0.047253,0.061699,0.0276,0.030144,-0.0623,0.3056,normal_high,326221.5,1.029546496646454e-28,2.346408294682616e-28,1.0,1,
유동비율_diff,295,3618,0.240292,0.421955,0.192842,0.228664,-0.036,0.2902,normal_high,309784.0,3.612103171329629e-33,9.56719218352172e-33,1.0,1,
유동비율_ratio,295,3618,0.102162,0.354834,0.035663,0.085847,-0.0364,0.2904,normal_high,309943.0,4.003643994780623e-33,1.0462856306360027e-32,1.0,1,
당좌비율_추정_diff,295,3618,0.241026,0.355861,0.195457,0.230405,-0.0947,0.2901,normal_high,309640.0,3.2904427848711256e-33,8.957316469926952e-33,1.0,1,
당좌비율_추정_ratio,295,3618,0.096661,0.258861,0.032437,0.081893,-0.0954,0.2902,normal_high,309746.0,3.524306013391526e-33,9.462520255133411e-33,1.0,1,
현금비율_diff,295,3618,0.117424,0.168228,0.08029,0.094837,-0.0465,0.3677,normal_high,392465.0,3.812464997916261e-14,6.731920176500786e-14,1.0,1,
현금비율_ratio,295,3618,0.097548,0.195312,0.018246,0.046699,-0.0452,0.3587,normal_high,382857.0,6.361359841182045e-16,1.1544690082145192e-15,1.0,1,
순운전자본비율_diff,295,3618,0.629216,0.836081,0.768226,0.855999,-0.6542,0.2856,normal_high,304807.0,1.3895460598537354e-34,4.39275851179568e-34,1.0,1,
순운전자본비율_ratio,295,3618,0.413333,0.831497,0.693124,0.866551,-0.7004,0.2864,normal_high,305689.0,2.4880020017480104e-34,7.619506130353282e-34,1.0,1,
순운전자본회전율_diff,295,3618,0.249485,0.311888,0.234598,0.258426,-0.0607,0.3705,normal_high,395401.5,1.1829310063356965e-13,2.0518095331132434e-13,1.0,1,
순운전자본회전율_ratio,295,3618,0.023167,0.080202,-3e-06,0.009197,-0.042,0.2959,normal_high,315834.5,3.84916827504515e-32,9.549835214036067e-32,1.0,1,
금융비용부담률_diff,295,3618,5.329571,0.519868,0.032033,-0.002504,0.2041,0.7764,distress_high,828607.0,2.527582315160285e-56,2.153939712049634e-55,1.0,1,
금융비용부담률_ratio,295,3618,1.984353,0.236063,0.017163,0.001787,0.1855,0.7882,distress_high,841264.0,2.1774597115937976e-61,2.2462215972230755e-60,1.0,1,
비유동비율_diff,295,3618,1.76155,0.085804,0.072979,0.01998,1.856,0.7261,distress_high,774922.0,3.005886118845971e-38,1.3389856347586599e-37,1.0,1,
비유동비율_ratio,295,3618,1.801648,0.088035,0.074576,0.020554,1.8589,0.7255,distress_high,774364.0,4.433291900658195e-38,1.8889678533239265e-37,1.0,1,
비유동장기적합률_diff,295,3618,0.824826,0.187901,0.208769,0.100237,0.3789,0.7114,distress_high,759249.0,1.178390585260936e-33,3.299493638730621e-33,1.0,1,
비유동장기적합률_ratio,295,3618,0.777035,0.180842,0.1981,0.099484,0.3892,0.7109,distress_high,758737.0,1.6451124236617393e-33,4.541437113207055e-33,1.0,1,
유형자산비율_diff,295,3618,0.33911,0.320537,0.19121,0.212548,0.0748,0.5045,ambiguous,538431.0,0.7979899794927143,0.8146147707321458,0.0,0,FDR 비유의
유형자산비율_ratio,295,3618,0.249309,0.228418,0.086602,0.109285,0.0765,0.503,ambiguous,536867.5,0.8633180397472233,0.8767374911422579,0.0,0,FDR 비유의
유형자산부채비율_diff,295,3618,0.096376,0.137808,0.06121,0.082535,-0.2039,0.4014,normal_high,428411.0,1.693935465803913e-08,2.4412599360115217e-08,1.0,1,
유형자산부채비율_ratio,295,3618,0.086334,0.157635,0.025361,0.062395,-0.2047,0.4006,normal_high,427537.5,1.2891193271841227e-08,1.8716102824302818e-08,1.0,1,
ROA_diff,295,3618,0.631214,0.808099,0.728117,0.862171,-0.5026,0.1927,normal_high,205681.0,3.5420457422506605e-69,4.6282731032075295e-68,1.0,1,
ROA_ratio,295,3618,0.655138,0.885499,0.785344,0.953685,-0.4773,0.1922,normal_high,205101.0,2.0461409430066925e-69,2.8645973202093695e-68,1.0,1,
ROE_diff,295,3618,0.587502,0.735603,0.67465,0.722732,-0.3024,0.3472,normal_high,370523.0,2.240233130880373e-18,4.347383105470823e-18,1.0,1,
ROE_ratio,295,3618,0.412733,0.759473,0.619002,0.733235,-0.3095,0.3475,normal_high,370934.0,2.722224773561716e-18,5.230941721746043e-18,1.0,1,
ROIC_diff,295,3618,0.515012,0.8375,0.770636,0.881052,-0.8853,0.2605,normal_high,278022.5,9.600553157092072e-43,4.9518642599738055e-42,1.0,1,
ROIC_ratio,295,3618,0.397983,0.406934,0.403179,0.404376,-0.0888,0.3908,normal_high,417150.0,4.2207570329157203e-10,6.618147027611849e-10,1.0,1,
총자본영업이익률_diff,295,3618,0.611052,0.927161,0.786543,0.980632,-0.7539,0.1543,normal_high,164714.0,4.8639184837657875e-87,2.3833200570452358e-85,1.0,1,
총자본영업이익률_ratio,295,3618,0.487863,0.908728,0.732634,0.97904,-0.728,0.1547,normal_high,165077.0,7.152045724825011e-87,2.8036019241314045e-85,1.0,1,
매출총이익률_diff,295,3618,0.528846,0.430526,0.766752,0.531085,0.0112,0.5326,ambiguous,568455.0,0.06156606553567233,0.07269246292163721,0.0,0,FDR 비유의
매출총이익률_ratio,295,3618,0.575191,0.499516,0.759286,0.576833,0.0112,0.533,ambiguous,568858.0,0.05861674037064631,0.07005415312589437,0.0,0,FDR 비유의
영업이익률_diff,295,3618,0.22618,0.878165,0.978072,0.992089,-0.1596,0.1361,normal_high,145208.0,2.8936955300863795e-96,5.671643238969304e-94,1.0,1,
영업이익률_ratio,295,3618,0.172284,0.858631,0.973062,0.98923,-0.1517,0.1378,normal_high,147060.0,2.284876689861308e-95,2.239179156064082e-93,1.0,1,
순이익률_diff,295,3618,0.323207,0.852502,0.952707,0.968084,-0.1498,0.1713,normal_high,182777.0,6.776733530371052e-79,1.4758219688363624e-77,1.0,1,
순이익률_ratio,295,3618,0.321748,0.716317,0.950372,0.967805,-0.0474,0.1681,normal_high,179405.0,2.206784520829997e-80,6.178996658323992e-79,1.0,1,
EBITDA마진_diff,295,3618,0.299149,0.868292,0.964399,0.976639,-0.1496,0.1865,normal_high,199092.0,6.716832571786678e-72,1.196817440063808e-70,1.0,1,
EBITDA마진_ratio,295,3618,0.237624,0.849004,0.958509,0.972484,-0.1442,0.189,normal_high,201747.0,8.59705860763149e-71,1.4041862392464767e-69,1.0,1,
영업현금흐름비율_diff,295,3618,-0.343345,0.816658,0.911928,0.933967,-0.1732,0.2858,normal_high,305011.0,1.5902520828252254e-34,4.947450924345146e-34,1.0,1,
영업현금흐름비율_ratio,295,3618,3.144201,0.96697,0.921574,0.918518,0.2296,0.6084,distress_high,649331.5,5.65321992066945e-10,8.7938976543747e-10,1.0,1,
현금ROA_diff,295,3618,0.513621,0.690278,0.623774,0.723487,-0.6105,0.2749,normal_high,293447.0,6.211924373707996e-38,2.59050463243993e-37,1.0,1,
현금ROA_ratio,295,3618,0.178758,0.588772,0.502285,0.688685,-0.5244,0.2755,normal_high,294046.5,9.413495305353698e-38,3.765398122141479e-37,1.0,1,
현금ROE_diff,295,3618,0.421014,0.522527,0.445924,0.460866,-0.0877,0.4717,ambiguous,503468.5,0.10564352642817579,0.1225214862717305,0.0,0,FDR 비유의
현금ROE_ratio,295,3618,0.07871,1.13592,0.614735,0.665805,-0.1914,0.4425,normal_high,472291.0,0.0010042787637338897,0.0013299907952151512,1.0,1,
매출원가율_diff,295,3618,0.471115,0.569441,0.233234,0.468908,-0.0112,0.4674,ambiguous,498848.0,0.061513807264756956,0.07269246292163721,0.0,0,FDR 비유의
매출원가율_ratio,295,3618,0.423478,0.541292,0.143267,0.420625,-0.0113,0.4602,ambiguous,491148.0,0.020035085918925756,0.024542980250684052,1.0,0,방향 불명확 (CLES 0.45~0.55)
판관비율_diff,295,3618,0.772644,0.122722,0.045088,0.015844,0.1633,0.7469,distress_high,797173.0,2.7187152252723962e-45,1.6147520731920899e-44,1.0,1,
판관비율_ratio,295,3618,0.754912,0.116802,0.041916,0.013648,0.1648,0.7463,distress_high,796520.0,4.4651639980538776e-45,2.574035716525176e-44,1.0,1,
감가상각비율_diff,295,3618,1.707494,0.193574,0.06465,0.025596,0.1953,0.7132,distress_high,761215.5,3.2495557797765116e-34,9.650195952063581e-34,1.0,1,
감가상각비율_ratio,295,3618,1.568713,0.176473,0.055173,0.017629,0.193,0.7161,distress_high,764295.0,4.2253971031683195e-35,1.3802963870349844e-34,1.0,1,
총자산회전율_diff,295,3618,0.231675,0.323439,0.181968,0.246788,-0.1517,0.3793,normal_high,404844.5,5.044363739149089e-12,8.450387118574542e-12,1.0,1,
총자산회전율_ratio,295,3618,0.17939,0.289282,0.120884,0.198152,-0.1543,0.378,normal_high,403405.5,2.915593454850769e-12,4.9691853665282665e-12,1.0,1,
유동자산회전율_diff,295,3618,0.258405,0.302117,0.207738,0.244545,-0.1202,0.4175,normal_high,445549.5,2.3296223539715893e-06,3.3087389954958805e-06,1.0,1,
유동자산회전율_ratio,295,3618,0.174646,0.218589,0.123277,0.160734,-0.1197,0.4197,normal_high,447948.5,4.346282984903943e-06,6.128571690943689e-06,1.0,1,
비유동자산회전율_diff,295,3618,0.063452,0.228022,0.033414,0.048799,-0.0704,0.3973,normal_high,424021.5,4.192355835031531e-09,6.272532394398322e-09,1.0,1,
비유동자산회전율_ratio,295,3618,0.068972,0.293043,0.028151,0.048943,-0.0708,0.3959,normal_high,422551.5,2.5935529786115505e-09,3.971377998498937e-09,1.0,1,
유형자산회전율_diff,295,3618,0.047831,0.175899,0.005948,0.007018,-0.0562,0.4437,normal_high,473535.5,0.0012710565128613651,0.0016389939244791287,1.0,1,
유형자산회전율_ratio,295,3618,0.038057,0.142103,0.003694,0.004514,-0.057,0.4431,normal_high,472978.0,0.0011446749162166655,0.0014957085571897762,1.0,1,
자기자본회전율_diff,295,3618,0.160457,0.134346,0.040005,0.067953,0.0529,0.3592,normal_high,383393.5,7.938748434348698e-16,1.4275180670938943e-15,1.0,1,
자기자본회전율_ratio,295,3618,0.144269,0.117043,0.014957,0.045617,0.0517,0.3512,normal_high,374797.0,1.5816671158538575e-17,2.9808341798784235e-17,1.0,1,
투하자본회전율_diff,295,3618,0.050471,0.100253,0.015785,0.027981,-0.0402,0.4005,normal_high,427422.5,1.2301845303567452e-08,1.7993743876859852e-08,1.0,1,
투하자본회전율_ratio,295,3618,0.039501,0.07984,0.005474,0.015239,-0.0351,0.3891,normal_high,415237.0,2.058114615203343e-10,3.2531489079020585e-10,1.0,1,
매출채권회전율_diff,295,3618,0.318748,0.378214,0.206395,0.203125,-0.0236,0.528,ambiguous,563562.5,0.10890826808029579,0.12556482672787045,0.0,0,FDR 비유의
매출채권회전율_ratio,295,3618,0.047994,0.066501,0.007163,0.006317,-0.0198,0.5216,ambiguous,556668.5,0.21736053931610433,0.24625818327142454,0.0,0,FDR 비유의
